Year,SH_DYN_NMRTN,SH_DYN_NMRT
2012.0,81867.0,16.3
2013.0,78781.0,15.7
2014.0,75553.0,15.2
2015.0,71869.0,14.5
2016.0,68412.0,13.9
2017.0,65254.0,13.4
2018.0,62270.0,12.9
2019.0,59591.0,12.4
2020.0,,
2021.0,,
