Year,AG_LND_FRSTBIOPHA,AG_LND_FRSTCERT,AG_LND_FRSTCHG,AG_LND_FRSTMGT,AG_LND_FRSTPRCT
2012.0,,,,,
2013.0,,,,,
2014.0,,,,,
2015.0,178.95,2756.041,,23.27,54.49
2016.0,178.89,4527.564,,23.27,54.5
2017.0,178.95,6251.3409999999985,,23.27,54.48
2018.0,178.95,6786.685,,23.27,54.48
2019.0,178.95,6726.871,,23.27,54.48
2020.0,178.95,7083.647,-0.78,23.27,54.48
2021.0,,,,,
