Year,SE_GPI_PTNPRE,SE_GPI_PART
2012.0,1.01643,0.8678
2013.0,1.01069,0.8652200000000001
2014.0,0.98452,0.80785
2015.0,,
2016.0,1.08662,
2017.0,1.07741,
2018.0,1.08205,
2019.0,,
2020.0,,
2021.0,,
