Year,AG_PRD_FIESMS,AG_PRD_FIESMSN,AG_PRD_FIESS,AG_PRD_FIESSN
2012.0,,,,
2013.0,,,,
2014.0,,,,
2015.0,6.0,1548.7,0.7,175.5
2016.0,7.3,1897.1,0.9,229.0
2017.0,7.6,1999.9,0.9,240.1
2018.0,7.0,1865.1,0.8,222.7
2019.0,6.2,1677.8,0.7,192.7
2020.0,,,,
2021.0,,,,
