Year,GF_FRN_FDI
2012.0,19137.87
2013.0,18816.66
2014.0,21810.52
2015.0,16641.45
2016.0,3921.23
2017.0,20579.23
2018.0,20563.47
2019.0,23429.03
2020.0,
2021.0,
