Year,SH_STA_MALR
2012.0,7.855939999999999
2013.0,6.5975600000000005
2014.0,4.9515
2015.0,4.36937
2016.0,4.4924800000000005
2017.0,3.01892
2018.0,2.27736
2019.0,2.43281
2020.0,
2021.0,
