Year,SH_STA_SCIDE,SH_STA_SCIDEN
2012.0,,
2013.0,,
2014.0,,
2015.0,2.4,6096.0
2016.0,,
2017.0,,
2018.0,,
2019.0,2.4,6544.0
2020.0,,
2021.0,,
