Year,EG_EGY_CLEAN
2012.0,53.0
2013.0,58.0
2014.0,63.0
2015.0,68.0
2016.0,72.0
2017.0,76.0
2018.0,79.0
2019.0,82.0
2020.0,
2021.0,
