Year,ER_GRF_ANIMRCNTN,ER_GRF_PLNTSTOR
2012.0,,4900.0
2013.0,,
2014.0,,4901.0
2015.0,,
2016.0,,4902.0
2017.0,,4902.0
2018.0,,4902.0
2019.0,9.0,4902.0
2020.0,9.0,4902.0
2021.0,9.0,
