Year,BX_TRF_PWKR
2012.0,0.7858
2013.0,0.8344
2014.0,0.9599
2015.0,1.122
2016.0,0.9558
2017.0,0.8851
2018.0,1.0759999999999998
2019.0,1.0425
2020.0,0.9118
2021.0,
