Year,IT_USE_ii99
2012.0,14.52
2013.0,14.94
2014.0,17.14
2015.0,22.06274
2016.0,25.44735
2017.0,32.335809999999995
2018.0,39.90464
2019.0,47.69065
2020.0,
2021.0,
