Year,SG_DSR_SILS,SG_DSR_SILN,SG_GOV_LOGV
2012.0,0.0642,33.0,514.0
2013.0,0.054470000000000005,28.0,514.0
2014.0,,,514.0
2015.0,,,514.0
2016.0,0.02918,15.0,514.0
2017.0,0.08755,45.0,514.0
2018.0,0.05058,26.0,514.0
2019.0,0.017509999999999998,9.0,514.0
2020.0,,,
2021.0,,,
