Year,DC_FTA_TOTAL
2012.0,933.5716
2013.0,1027.76824
2014.0,439.25557
2015.0,3409.18378
2016.0,1053.97416
2017.0,1168.4915
2018.0,2042.80551
2019.0,886.4735400000002
2020.0,
2021.0,
