Year,GF_COM_PPPI,GF_COM_PPPI_KD
2012.0,4578.0,5097.6946
2013.0,2076.7,2279.0626
2014.0,1690.5,1825.6139
2015.0,210.0,226.5156
2016.0,8734.8,9304.3733
2017.0,15381.99,16043.2701
2018.0,6638.15,6758.4471
2019.0,372.38,372.38
2020.0,67273.92,
2021.0,,
