Year,EN_MWT_COLLV
2012.0,7650389.16016
2013.0,6002829.589840001
2014.0,5842428.22266
2015.0,6026797.8515599985
2016.0,9236850.58594
2017.0,9536610.35156
2018.0,
2019.0,
2020.0,
2021.0,
