Year,EN_ATM_CO2,EN_ATM_CO2GDP
2012.0,451.12,0.19997
2013.0,416.859,0.17505
2014.0,452.264,0.18087
2015.0,453.867,0.17307
2016.0,454.35,0.16495
2017.0,492.711,0.17025
2018.0,542.876,0.17836
2019.0,,
2020.0,,
2021.0,,
