Year,SH_ACS_DTP3,SH_ACS_MCV2,SH_ACS_PCV3,SH_ACS_HPV
2012.0,87.0,78.0,0.0,
2013.0,92.0,76.0,0.0,
2014.0,88.0,28.0,0.0,
2015.0,84.0,31.0,0.0,
2016.0,84.0,55.0,0.0,
2017.0,85.0,63.0,0.0,3.0
2018.0,85.0,67.0,0.0,0.5
2019.0,85.0,71.0,3.0,0.5
2020.0,,,,
2021.0,,,,
