UniqueID,SH_DYN_IMRT BOTHSEX                 <1Y       ,SH_DYN_IMRT FEMALE                 <1Y       ,SH_DYN_IMRT MALE                 <1Y       ,SH_DYN_IMRTN BOTHSEX                 <1Y       ,SH_DYN_IMRTN FEMALE                 <1Y       ,SH_DYN_IMRTN MALE                 <1Y       ,SH_DYN_MORT BOTHSEX                 <5Y       ,SH_DYN_MORT FEMALE                 <5Y       ,SH_DYN_MORT MALE                 <5Y       ,SH_DYN_MORTN BOTHSEX                 <5Y       ,SH_DYN_MORTN FEMALE                 <5Y       ,SH_DYN_MORTN MALE                 <5Y       
SH_DYN_IMRT BOTHSEX                 <1Y       ,1.0,0.9997950899289777,0.9999192979268484,0.9999446951780946,0.9999639538464612,0.9999126771740438,0.9997685246369138,0.9998813067638561,0.9999128218272056,0.9999557874889654,0.9999546935280988,0.9999337798585605
SH_DYN_IMRT FEMALE                 <1Y       ,0.9997950899289777,1.0,0.9996694367862291,0.9996182383141587,0.9997124989471242,0.9995273250800121,0.9998548017192428,0.9998973016297215,0.9996790524791322,0.9996803452790981,0.9997818371269213,0.9995769204649155
SH_DYN_IMRT MALE                 <1Y       ,0.9999192979268484,0.9996694367862291,1.0,0.9998681886382657,0.999876690767081,0.9998446192814696,0.9997010877431293,0.9998295643340671,0.999932304405156,0.9998900663400732,0.999889513943679,0.999867630367486
SH_DYN_IMRTN BOTHSEX                 <1Y       ,0.9999446951780946,0.9996182383141587,0.9998681886382657,1.0,0.9999879500499266,0.9999925684304142,0.9997024849391847,0.999791005977781,0.9999163357645485,0.9999925548186751,0.9999581511563211,0.9999969846237048
SH_DYN_IMRTN FEMALE                 <1Y       ,0.9999639538464612,0.9997124989471242,0.999876690767081,0.9999879500499266,1.0,0.9999615924852252,0.9997990358524144,0.9998624551370218,0.9999242278266433,0.999995488774238,0.9999869841106435,0.9999793621918808
SH_DYN_IMRTN MALE                 <1Y       ,0.9999126771740438,0.9995273250800121,0.9998446192814696,0.9999925684304142,0.9999615924852252,1.0,0.9996097716726339,0.9997180041929589,0.9998932446935676,0.9999733561736157,0.9999186140208214,0.9999939293014867
SH_DYN_MORT BOTHSEX                 <5Y       ,0.9997685246369138,0.9998548017192428,0.9997010877431293,0.9997024849391847,0.9997990358524144,0.9996097716726339,1.0,0.9999592617244898,0.9998029697054797,0.9997809347831479,0.9998790196938439,0.9996802117912681
SH_DYN_MORT FEMALE                 <5Y       ,0.9998813067638561,0.9998973016297215,0.9998295643340671,0.999791005977781,0.9998624551370218,0.9997180041929589,0.9999592617244898,1.0,0.9998956279385477,0.9998513556975266,0.9999193347560197,0.9997745264407638
SH_DYN_MORT MALE                 <5Y       ,0.9999128218272056,0.9996790524791322,0.999932304405156,0.9999163357645485,0.9999242278266433,0.9998932446935676,0.9998029697054797,0.9998956279385477,1.0,0.9999466978412511,0.9999443741071148,0.9999256665033642
SH_DYN_MORTN BOTHSEX                 <5Y       ,0.9999557874889654,0.9996803452790981,0.9998900663400732,0.9999925548186751,0.999995488774238,0.9999733561736157,0.9997809347831479,0.9998513556975266,0.9999466978412511,1.0,0.9999839311996823,0.9999898770529806
SH_DYN_MORTN FEMALE                 <5Y       ,0.9999546935280988,0.9997818371269213,0.999889513943679,0.9999581511563211,0.9999869841106435,0.9999186140208214,0.9998790196938439,0.9999193347560197,0.9999443741071148,0.9999839311996823,1.0,0.9999483006530508
SH_DYN_MORTN MALE                 <5Y       ,0.9999337798585605,0.9995769204649155,0.999867630367486,0.9999969846237048,0.9999793621918808,0.9999939293014867,0.9996802117912681,0.9997745264407638,0.9999256665033642,0.9999898770529806,0.9999483006530508,1.0
