UniqueID,VC_DSR_AFFCT                         ,VC_DSR_DAFF                         ,VC_DSR_IJILN                         ,VC_DSR_MISS                         ,VC_DSR_MMHN                         ,VC_DSR_MORT                         ,VC_DSR_MTMP                         ,VC_DSR_PDAN                         ,VC_DSR_PDLN                         ,VC_DSR_PDYN                         
VC_DSR_AFFCT                         ,1.0,0.9999966069426385,0.9876538788393168,0.9975537218261801,0.9965567287463915,0.9947673758984611,0.9966818792329932,0.9443773923574585,1.0,0.9956387695279273
VC_DSR_DAFF                         ,0.9999966069426385,1.0,0.9876644431342241,0.9973867855264701,0.9964793586433937,0.9947313564428264,0.996625016260247,0.9451075678739193,1.0000000000000002,0.9957888065271795
VC_DSR_IJILN                         ,0.9876538788393168,0.9876644431342241,1.0,0.9890934960749764,0.9946249735564291,0.9958447158686142,0.9946197228390847,0.9369105420923216,1.0,0.9835535464103096
VC_DSR_MISS                         ,0.9975537218261801,0.9973867855264701,0.9890934960749764,1.0,0.9980149761950886,0.9957686651148332,0.9976381558892191,0.9228730947002057,1.0,0.9895291071544129
VC_DSR_MMHN                         ,0.9965567287463915,0.9964793586433937,0.9946249735564291,0.9980149761950886,1.0,0.9995793410444233,0.9999616598018194,0.9329145162520922,1.0,0.9929385451707471
VC_DSR_MORT                         ,0.9947673758984611,0.9947313564428264,0.9958447158686142,0.9957686651148332,0.9995793410444233,1.0,0.9996969301977359,0.9362935672596576,1.0,0.9931832886828184
VC_DSR_MTMP                         ,0.9966818792329932,0.996625016260247,0.9946197228390847,0.9976381558892191,0.9999616598018194,0.9996969301977359,1.0,0.9352368459826026,0.9999999999999999,0.9937410633028781
VC_DSR_PDAN                         ,0.9443773923574585,0.9451075678739193,0.9369105420923216,0.9228730947002057,0.9329145162520922,0.9362935672596576,0.9352368459826026,1.0,1.0,0.9583340576264631
VC_DSR_PDLN                         ,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002
VC_DSR_PDYN                         ,0.9956387695279273,0.9957888065271795,0.9835535464103096,0.9895291071544129,0.9929385451707471,0.9931832886828184,0.9937410633028781,0.9583340576264631,1.0000000000000002,1.0
