UniqueID,TimePeriod,SH_STA_ANEM FEMALE                 15-49       ,SH_STA_ANEM_NPRG FEMALE                 15-49       ,SH_STA_ANEM_PREG FEMALE                 15-49       
TimePeriod,1.0,0.9878006503925647,0.990328100533956,0.9991185274658979
SH_STA_ANEM FEMALE                 15-49       ,0.9878006503925647,1.0,0.9997968467045101,0.9893106046849008
SH_STA_ANEM_NPRG FEMALE                 15-49       ,0.990328100533956,0.9997968467045101,1.0,0.9912784738210434
SH_STA_ANEM_PREG FEMALE                 15-49       ,0.9991185274658979,0.9893106046849008,0.9912784738210434,1.0
