UniqueID,SH_ACS_DTP3                         ,SH_ACS_HPV                         ,SH_ACS_MCV2                         ,SH_ACS_PCV3                         
SH_ACS_DTP3                         ,1.0,,0.2708393169102417,-0.18620973068096486
SH_ACS_HPV                         ,,1.0,-0.8660254037844386,-0.5
SH_ACS_MCV2                         ,0.2708393169102417,-0.8660254037844386,1.0,0.2577766652129731
SH_ACS_PCV3                         ,-0.18620973068096486,-0.5,0.2577766652129731,1.0
