UniqueID,EN_MAT_DOMCMPC             ALP            ,EN_MAT_DOMCMPC             BIM            ,EN_MAT_DOMCMPC             COL            ,EN_MAT_DOMCMPC             CPR            ,EN_MAT_DOMCMPC             CRO            ,EN_MAT_DOMCMPC             FEO            ,EN_MAT_DOMCMPC             FOF            ,EN_MAT_DOMCMPC             GAS            ,EN_MAT_DOMCMPC             GBO            ,EN_MAT_DOMCMPC             MEO            ,EN_MAT_DOMCMPC             NFO            ,EN_MAT_DOMCMPC             NMA            ,EN_MAT_DOMCMPC             NMC            ,EN_MAT_DOMCMPC             NMM            ,EN_MAT_DOMCMPC             PET            ,EN_MAT_DOMCMPC             WCH            ,EN_MAT_DOMCMPC             WOD            ,EN_MAT_DOMCMPG             ALP            ,EN_MAT_DOMCMPG             BIM            ,EN_MAT_DOMCMPG             COL            ,EN_MAT_DOMCMPG             CPR            ,EN_MAT_DOMCMPG             CRO            ,EN_MAT_DOMCMPG             FEO            ,EN_MAT_DOMCMPG             FOF            ,EN_MAT_DOMCMPG             GAS            ,EN_MAT_DOMCMPG             GBO            ,EN_MAT_DOMCMPG             MEO            ,EN_MAT_DOMCMPG             NFO            ,EN_MAT_DOMCMPG             NMA            ,EN_MAT_DOMCMPG             NMC            ,EN_MAT_DOMCMPG             NMM            ,EN_MAT_DOMCMPG             PET            ,EN_MAT_DOMCMPG             WCH            ,EN_MAT_DOMCMPG             WOD            ,EN_MAT_DOMCMPT             ALP            ,EN_MAT_DOMCMPT             BIM            ,EN_MAT_DOMCMPT             COL            ,EN_MAT_DOMCMPT             CPR            ,EN_MAT_DOMCMPT             CRO            ,EN_MAT_DOMCMPT             FEO            ,EN_MAT_DOMCMPT             FOF            ,EN_MAT_DOMCMPT             GAS            ,EN_MAT_DOMCMPT             GBO            ,EN_MAT_DOMCMPT             MEO            ,EN_MAT_DOMCMPT             NFO            ,EN_MAT_DOMCMPT             NMA            ,EN_MAT_DOMCMPT             NMC            ,EN_MAT_DOMCMPT             NMM            ,EN_MAT_DOMCMPT             PET            ,EN_MAT_DOMCMPT             WCH            ,EN_MAT_DOMCMPT             WOD            
EN_MAT_DOMCMPC             ALP            ,1.0,-0.522865444614785,-0.6824430407714147,-0.5669255053336815,-0.5231709977377271,-0.47765364272103666,-0.6608230594712962,0.4051461924046012,-0.33965215778991537,0.9770735736649719,0.9765538360861328,-0.6246979395403307,-0.461160808852845,-0.49595726420651315,0.08159390545491821,-0.8858595543150207,0.725900232657905,0.9253625708093998,0.6927188380846379,-0.7078472854322202,0.7021941391793982,0.7087540801024278,0.5874871951849281,-0.6239513440152755,0.6326691113118869,0.4873846229308805,0.9487542287674092,0.9490514147124358,-0.04108513941504814,0.710057896488848,0.6788790835161793,0.7655185096336532,-0.23660612137509252,0.7032892868880218,0.9682739346717962,-0.5789127425916629,-0.6747250651250895,-0.5920348738085989,-0.5723022811865377,-0.5517393991242452,-0.655387918774007,-0.09789930942674419,-0.6344568366084955,0.9852222354640326,0.9845246267356426,-0.6625015926236507,-0.5482719631617036,-0.5669207521262294,-0.39243463252701594,-0.8327202309548575,0.7475801758882685
EN_MAT_DOMCMPC             BIM            ,-0.522865444614785,1.0,0.9375135061630947,0.9932364803092368,0.9990854192509186,0.9514890527945088,0.9451351022017883,-0.7586986231067513,0.29251542490703186,-0.6908213929381567,-0.6926318400831905,0.8127162236929307,0.9929795185146394,0.9888313374254825,0.7683722767713101,0.7872273506421303,-0.8967507047449783,-0.7871793311154321,-0.8862136102331497,0.8885404884156164,-0.8788088951218856,-0.8743578659081276,-0.6459532289688579,0.7537541575294824,-0.968316366908986,-0.7844020163697859,-0.758277985771883,-0.7580121345884772,-0.10183965629874202,-0.8588123636528378,-0.833448381134746,-0.9137568454098841,-0.7031551906670191,-0.920689910001522,-0.30369764954968764,0.9929410210260774,0.9458333444474196,0.9859322505742514,0.9917586847599907,0.9912377456756897,0.9551234955440239,-0.0762861441486807,0.7784997636870097,-0.6584231249522389,-0.6614761308217608,0.8980552622074474,0.9966196490095822,0.9977293866775989,0.959743975458362,0.8561200787914583,-0.8576516427092802
EN_MAT_DOMCMPC             COL            ,-0.6824430407714147,0.9375135061630947,1.0,0.9511907057303826,0.9377280569791141,0.8542618093758378,0.9990993773429171,-0.8271909719153866,0.2350031286567286,-0.817884135346295,-0.8190612354915611,0.763753977720095,0.9203493585938785,0.9180615214455901,0.6614312671268867,0.8927679779685248,-0.9215473253423914,-0.8849423190631224,-0.9222941638261378,0.9903897360310328,-0.9185692459180352,-0.9190079575653352,-0.7357884159265203,0.9104762645347357,-0.9944597003899999,-0.8131041379547637,-0.8685385809898445,-0.8682441808230273,-0.16005605443584284,-0.9016237008656098,-0.879226729124675,-0.9401289685921268,-0.48481613078093455,-0.9426687205943804,-0.49209426310441967,0.9549376141584386,0.9995799846566791,0.955555826809236,0.9517880676104271,0.9229985253388845,0.9966303369531053,-0.16743502436404267,0.7361658406783518,-0.7924936072774244,-0.7946414515702807,0.8563240699804865,0.9526100313345592,0.9534486610543406,0.9128009574298002,0.9311030691175878,-0.8878436339017278
EN_MAT_DOMCMPC             CPR            ,-0.5669255053336815,0.9932364803092368,0.9511907057303826,1.0,0.9966424377365942,0.9127962755253924,0.9597476544464141,-0.7181730903765738,0.2083805470234184,-0.7270483098640934,-0.7286395802692311,0.7662213590425384,0.9761378480135734,0.9672017649950205,0.752755882078796,0.8397433928659106,-0.9402233831633081,-0.828795403544511,-0.9336105928954729,0.9008312378494728,-0.9277199750801725,-0.9240888511128135,-0.7295181235865228,0.7533525084439386,-0.9763506710186829,-0.8464157997366705,-0.7962120019611842,-0.7957809984756942,-0.19535964859609206,-0.911676649311797,-0.8917327848318171,-0.9491575131525808,-0.6573872475148779,-0.9585993960344112,-0.34681950282622565,0.9998661775580024,0.9595512299690754,0.9986263237399626,0.9999241212793759,0.9741206777643533,0.970678274146169,0.0022096039182601486,0.7305151535580577,-0.6941056241247054,-0.6969236292183525,0.8664026074102811,0.9978680743604978,0.995469301734479,0.9694351290162615,0.9008769513183661,-0.9086819145240479
EN_MAT_DOMCMPC             CRO            ,-0.5231709977377271,0.9990854192509186,0.9377280569791141,0.9966424377365942,1.0,0.9382123202535495,0.9465182516226264,-0.7385220702096912,0.2543328396612166,-0.6908509397704508,-0.6926143217687108,0.7903561556241325,0.9890973528626948,0.9821163331884619,0.7740722618883951,0.7976928700563304,-0.9100174716811804,-0.7924279754661333,-0.901321678939429,0.8858819797945675,-0.8942053008517463,-0.8897822492337517,-0.6746401836706194,0.7439751791110539,-0.96851756257846,-0.8089503081637421,-0.7607905068996011,-0.760445634898973,-0.14234394521891927,-0.8754877456586946,-0.8527181137706511,-0.9228843279740715,-0.7017280124043411,-0.9322777675658798,-0.3011042359261779,0.9960560387836636,0.9465834075219975,0.9909920106399303,0.9955913333500358,0.985389116702007,0.9575340072147049,-0.041569529485763354,0.7547577827817128,-0.6575169393344185,-0.6605403919198428,0.8820349028305844,0.998070157905026,0.9973260531782823,0.9675001826837505,0.8658836182282246,-0.8732505293320748
EN_MAT_DOMCMPC             FEO            ,-0.47765364272103666,0.9514890527945088,0.8542618093758378,0.9127962755253924,0.9382123202535495,1.0,0.8547609844028069,-0.8068254080562415,0.5585302235381849,-0.6377301182076148,-0.6398324183029808,0.931353335206598,0.9639346992761632,0.9810588191877347,0.6722710446304264,0.6544946197743267,-0.7502353576855719,-0.6950310930542486,-0.7218147347460696,0.8171750953638597,-0.7127512262821053,-0.7073218679481009,-0.3919319619295995,0.7178871059206521,-0.8912930665599744,-0.5562396445766504,-0.6847908332097952,-0.6851133578754922,0.20323240150588595,-0.6861207885204712,-0.6430519862174797,-0.7950908548250452,-0.6919883344438873,-0.7816138335622277,-0.290489596168301,0.9138785265733633,0.8607584697188659,0.893034363730402,0.9083215970308857,0.9808654390361367,0.8610851209875624,-0.25335915069784176,0.9086417564114128,-0.6133980377547961,-0.6165668328629,0.9648639120493799,0.9280015730248765,0.9428100098535845,0.8424026549111538,0.7270810704038064,-0.7001568892297605
EN_MAT_DOMCMPC             FOF            ,-0.6608230594712962,0.9451351022017883,0.9990993773429171,0.9597476544464141,0.9465182516226264,0.8547609844028069,1.0,-0.8166007330340915,0.2074173329918768,-0.8012519063272836,-0.8024685624853513,0.7496065485366357,0.927857586772693,0.9225244723502747,0.687148913155571,0.888446046286269,-0.9282506351232649,-0.8761796039259885,-0.9306703416973373,0.9847215773897507,-0.9266079954534564,-0.9266485698811429,-0.7496836397132777,0.8980842319043726,-0.9966209233935347,-0.8317448640667963,-0.8563032624193251,-0.8559421934348246,-0.1891045305691928,-0.9097905738719851,-0.8894077119343319,-0.9432360126094945,-0.5117601743587934,-0.9494949075746743,-0.46392340456590153,0.9628392874687537,0.9996738631959534,0.9640283995177287,0.9603890115141462,0.9264341098174823,0.9989235694164372,-0.14623558583137197,0.7198893743649648,-0.7741080109884415,-0.776346503081219,0.8469993813001407,0.9605064888940044,0.9595934601227788,0.9287360248474048,0.9301537450075222,-0.8944918637511513
EN_MAT_DOMCMPC             GAS            ,0.4051461924046012,-0.7586986231067513,-0.8271909719153866,-0.7181730903765738,-0.7385220702096912,-0.8068254080562415,-0.8166007330340915,1.0,-0.5063594354952405,0.5441472817919473,0.5457749451726945,-0.7801384996334995,-0.7947685433058543,-0.8107043986559564,-0.6191244253112526,-0.5315461588727963,0.547144319005686,0.560334824936298,0.5490041012795072,-0.8649753014868953,0.5399024720136887,0.5404513688352061,0.27230037897600023,-0.9337331768819195,0.8188971129929042,0.40729551623095434,0.5719950083900195,0.5724326342851129,-0.23421761931816074,0.5052151021910445,0.46675812168968717,0.5985291894203509,0.5024273604716744,0.5975612389049803,0.26452184422462227,-0.7230151652721871,-0.8181155831613921,-0.7006490272712234,-0.7129318386439466,-0.7830062376456545,-0.796132740286748,0.6860553671398419,-0.7661212260621647,0.5283582521731527,0.5307379395701801,-0.7962162468377965,-0.7492352688383068,-0.7630349883703849,-0.7001333280550347,-0.5843358040459036,0.47765208588312325
EN_MAT_DOMCMPC             GBO            ,-0.33965215778991537,0.29251542490703186,0.2350031286567286,0.2083805470234184,0.2543328396612166,0.5585302235381849,0.2074173329918768,-0.5063594354952405,1.0,-0.353032879033816,-0.3542126110631962,0.7856208807446438,0.3304343358056307,0.40556868909236693,-0.11032845600303476,0.1050096394119914,-0.0339599055318713,-0.24078637478202744,0.0323596314493617,0.2713124478247259,0.036249485839391755,0.03783072835027158,0.40293795901301716,0.3251969964755501,-0.2425201279425568,0.32184295502215515,-0.2988751459647425,-0.3006970035926239,0.9145088303744565,0.05979483412319138,0.13079717053704437,-0.13708563721834016,-0.06784685410880704,-0.05688223307459616,-0.36870558026302713,0.2167889544871707,0.22808507187559807,0.1771393859174895,0.20062921608393985,0.41532783138169255,0.19535896639183437,-0.556068792882348,0.8149870069519831,-0.37190376327998587,-0.37281097111653594,0.663353870376714,0.2399830354416902,0.2881272139036076,0.031808231038965816,0.11601302714551943,0.004254247506391023
EN_MAT_DOMCMPC             MEO            ,0.9770735736649719,-0.6908213929381567,-0.817884135346295,-0.7270483098640934,-0.6908509397704508,-0.6377301182076148,-0.8012519063272836,0.5441472817919473,-0.353032879033816,1.0,0.9999962669003108,-0.7265503836931979,-0.6375707497797675,-0.6653132296786044,-0.12795848598609832,-0.9483023200035287,0.8379781953232917,0.9801377895376152,0.8090086694213265,-0.829824702248819,0.8151496952010302,0.819848331538779,0.6631111944967967,-0.730928027048883,0.7815479101962735,0.6120434206548723,0.9930082849065651,0.9931817316272508,-0.0023660118317816938,0.8164092060329842,0.7842098177711188,0.8754043992741126,-0.027902663426862158,0.8256618122982083,0.8953614816283302,-0.7372334526631132,-0.812849073575864,-0.7468080896927002,-0.731252963010603,-0.71179852722636,-0.7981239229051162,-0.04850431488860779,-0.7261289225877013,0.9987623833992041,0.9989171766198452,-0.7808946074420365,-0.7126352605906213,-0.7282851293580893,-0.5742273567944945,-0.9200756247441355,0.8456949253964869
