UniqueID,TimePeriod,ER_BDY_ABT2NP                 ABT2ACHIEVE        ,ER_BDY_SEEA                 LS_COMPDISSE        
TimePeriod,,,
ER_BDY_ABT2NP                 ABT2ACHIEVE        ,,,
ER_BDY_SEEA                 LS_COMPDISSE        ,,,
