UniqueID,ER_BDY_ABT2NP                 ABT2ACHIEVE        ,ER_BDY_SEEA                 LS_COMPDISSE        
ER_BDY_ABT2NP                 ABT2ACHIEVE        ,,
ER_BDY_SEEA                 LS_COMPDISSE        ,,
