UniqueID,TimePeriod,VC_HTF_DETV BOTHSEX                 ALLAGE       
TimePeriod,1.0,0.5993928421296505
VC_HTF_DETV BOTHSEX                 ALLAGE       ,0.5993928421296505,1.0
