UniqueID,AG_PRD_FIESMS BOTHSEX                 ALLAGE       ,AG_PRD_FIESMS FEMALE                 15+       ,AG_PRD_FIESMS MALE                 15+       ,AG_PRD_FIESMSN BOTHSEX             A    ALLAGE       ,AG_PRD_FIESMSN FEMALE             A    15+       ,AG_PRD_FIESMSN MALE             A    15+       ,AG_PRD_FIESS BOTHSEX             A    ALLAGE       ,AG_PRD_FIESS FEMALE             A    15+       ,AG_PRD_FIESS MALE             A    15+       ,AG_PRD_FIESSN BOTHSEX             A    ALLAGE       ,AG_PRD_FIESSN FEMALE             A    15+       ,AG_PRD_FIESSN MALE             A    15+       
AG_PRD_FIESMS BOTHSEX                 ALLAGE       ,1.0,-0.144500461905461,-0.01587375456122391,0.9845286333410288,-0.14309209108102328,-0.02987065518667922,0.9722551532327056,-0.10159246710252885,-0.19673076248080984,0.9886753861312627,-0.11606382228905338,-0.19401135487738877
AG_PRD_FIESMS FEMALE                 15+       ,-0.144500461905461,1.0,0.9791509939847508,0.027927481475043467,0.9998745412206501,0.9812594090503977,-0.30486976893162654,0.9989701573428275,0.997826556193718,-0.009008344042260816,0.9995065006086126,0.997280342538423
AG_PRD_FIESMS MALE                 15+       ,-0.01587375456122391,0.9791509939847508,1.0,0.15945194950149535,0.981601886074398,0.999875775987494,-0.20073140521116017,0.9848682834757533,0.9757730948765649,0.12499782507984153,0.9842730841228091,0.9777471960011835
AG_PRD_FIESMSN BOTHSEX             A    ALLAGE       ,0.9845286333410288,0.027927481475043467,0.15945194950149535,1.0,0.029815391298866227,0.14557329230370575,0.9238483452296665,0.07136896455256465,-0.02409149037642381,0.9979899763253085,0.05697679270605066,-0.021003697629704624
AG_PRD_FIESMSN FEMALE             A    15+       ,-0.14309209108102328,0.9998745412206501,0.981601886074398,0.029815391298866227,1.0,0.9836800439037034,-0.3051080744224035,0.9989716638732811,0.9982317507479402,-0.006711331780766414,0.9995933667156766,0.9979214169047792
AG_PRD_FIESMSN MALE             A    15+       ,-0.02987065518667922,0.9812594090503977,0.999875775987494,0.14557329230370575,0.9836800439037034,1.0,-0.21334835238263664,0.9862786521371897,0.9786381304744936,0.11136278751353097,0.9859274617913136,0.9805742308022085
AG_PRD_FIESS BOTHSEX             A    ALLAGE       ,0.9722551532327056,-0.30486976893162654,-0.20073140521116017,0.9238483452296665,-0.3051080744224035,-0.21334835238263664,1.0,-0.26615777185726364,-0.3569562449878196,0.9371820656451798,-0.27981441452466255,-0.35559441087335275
AG_PRD_FIESS FEMALE             A    15+       ,-0.10159246710252885,0.9989701573428275,0.9848682834757533,0.07136896455256465,0.9989716638732811,0.9862786521371897,-0.26615777185726364,1.0,0.9945699166631866,0.03393886409322594,0.9998511600892052,0.9941831171235114
AG_PRD_FIESS MALE             A    15+       ,-0.19673076248080984,0.997826556193718,0.9757730948765649,-0.02409149037642381,0.9982317507479402,0.9786381304744936,-0.3569562449878196,0.9945699166631866,1.0,-0.059574129223893935,0.9961808850728818,0.9998871775865132
AG_PRD_FIESSN BOTHSEX             A    ALLAGE       ,0.9886753861312627,-0.009008344042260816,0.12499782507984153,0.9979899763253085,-0.006711331780766414,0.11136278751353097,0.9371820656451798,0.03393886409322594,-0.059574129223893935,1.0,0.020002064946469462,-0.056029434259926764
AG_PRD_FIESSN FEMALE             A    15+       ,-0.11606382228905338,0.9995065006086126,0.9842730841228091,0.05697679270605066,0.9995933667156766,0.9859274617913136,-0.27981441452466255,0.9998511600892052,0.9961808850728818,0.020002064946469462,1.0,0.995862437265044
AG_PRD_FIESSN MALE             A    15+       ,-0.19401135487738877,0.997280342538423,0.9777471960011835,-0.021003697629704624,0.9979214169047792,0.9805742308022085,-0.35559441087335275,0.9941831171235114,0.9998871775865132,-0.056029434259926764,0.995862437265044,1.0
