UniqueID,TimePeriod,SH_DYN_IMRT BOTHSEX                 <1Y       ,SH_DYN_IMRT FEMALE                 <1Y       ,SH_DYN_IMRT MALE                 <1Y       ,SH_DYN_IMRTN BOTHSEX                 <1Y       ,SH_DYN_IMRTN FEMALE                 <1Y       ,SH_DYN_IMRTN MALE                 <1Y       ,SH_DYN_MORT BOTHSEX                 <5Y       ,SH_DYN_MORT FEMALE                 <5Y       ,SH_DYN_MORT MALE                 <5Y       ,SH_DYN_MORTN BOTHSEX                 <5Y       ,SH_DYN_MORTN FEMALE                 <5Y       ,SH_DYN_MORTN MALE                 <5Y       
TimePeriod,1.0,-0.9992211335310052,-0.9983329706041535,-0.9990157171353204,-0.9993723554436201,-0.9992626339952457,-0.9994416381228123,-0.9984005128268345,-0.998669573525449,-0.9990250499973425,-0.9992568710354436,-0.9990609952328098,-0.9993894798849857
SH_DYN_IMRT BOTHSEX                 <1Y       ,-0.9992211335310052,1.0,0.9997950899289777,0.9999192979268486,0.9999446951780946,0.9999639538464612,0.9999126771740438,0.9997685246369137,0.9998813067638563,0.9999128218272055,0.9999557874889655,0.9999546935280988,0.9999337798585605
SH_DYN_IMRT FEMALE                 <1Y       ,-0.9983329706041535,0.9997950899289777,1.0,0.9996694367862291,0.9996182383141587,0.9997124989471242,0.9995273250800121,0.9998548017192428,0.9998973016297215,0.9996790524791322,0.9996803452790985,0.9997818371269211,0.9995769204649154
SH_DYN_IMRT MALE                 <1Y       ,-0.9990157171353204,0.9999192979268486,0.9996694367862291,1.0,0.9998681886382655,0.9998766907670807,0.9998446192814694,0.9997010877431292,0.9998295643340669,0.9999323044051557,0.9998900663400732,0.9998895139436789,0.9998676303674859
SH_DYN_IMRTN BOTHSEX                 <1Y       ,-0.9993723554436201,0.9999446951780946,0.9996182383141587,0.9998681886382655,1.0,0.9999879500499267,0.9999925684304142,0.9997024849391843,0.9997910059777811,0.9999163357645484,0.9999925548186753,0.999958151156321,0.9999969846237048
SH_DYN_IMRTN FEMALE                 <1Y       ,-0.9992626339952457,0.9999639538464612,0.9997124989471242,0.9998766907670807,0.9999879500499267,1.0,0.9999615924852253,0.999799035852414,0.9998624551370218,0.9999242278266435,0.9999954887742384,0.9999869841106434,0.9999793621918808
SH_DYN_IMRTN MALE                 <1Y       ,-0.9994416381228123,0.9999126771740438,0.9995273250800121,0.9998446192814694,0.9999925684304142,0.9999615924852253,1.0,0.9996097716726339,0.9997180041929588,0.9998932446935677,0.9999733561736158,0.9999186140208214,0.9999939293014867
SH_DYN_MORT BOTHSEX                 <5Y       ,-0.9984005128268345,0.9997685246369137,0.9998548017192428,0.9997010877431292,0.9997024849391843,0.999799035852414,0.9996097716726339,1.0,0.99995926172449,0.9998029697054799,0.9997809347831481,0.9998790196938439,0.9996802117912681
SH_DYN_MORT FEMALE                 <5Y       ,-0.998669573525449,0.9998813067638563,0.9998973016297215,0.9998295643340669,0.9997910059777811,0.9998624551370218,0.9997180041929588,0.99995926172449,1.0,0.9998956279385475,0.9998513556975268,0.9999193347560198,0.9997745264407636
SH_DYN_MORT MALE                 <5Y       ,-0.9990250499973425,0.9999128218272055,0.9996790524791322,0.9999323044051557,0.9999163357645484,0.9999242278266435,0.9998932446935677,0.9998029697054799,0.9998956279385475,1.0,0.9999466978412513,0.9999443741071146,0.9999256665033642
SH_DYN_MORTN BOTHSEX                 <5Y       ,-0.9992568710354436,0.9999557874889655,0.9996803452790985,0.9998900663400732,0.9999925548186753,0.9999954887742384,0.9999733561736158,0.9997809347831481,0.9998513556975268,0.9999466978412513,1.0,0.9999839311996819,0.9999898770529803
SH_DYN_MORTN FEMALE                 <5Y       ,-0.9990609952328098,0.9999546935280988,0.9997818371269211,0.9998895139436789,0.999958151156321,0.9999869841106434,0.9999186140208214,0.9998790196938439,0.9999193347560198,0.9999443741071146,0.9999839311996819,1.0,0.9999483006530506
SH_DYN_MORTN MALE                 <5Y       ,-0.9993894798849857,0.9999337798585605,0.9995769204649154,0.9998676303674859,0.9999969846237048,0.9999793621918808,0.9999939293014867,0.9996802117912681,0.9997745264407636,0.9999256665033642,0.9999898770529803,0.9999483006530506,1.0
