UniqueID,EN_ATM_CO2                     TOTAL    ,EN_ATM_CO2GDP                         
EN_ATM_CO2                     TOTAL    ,1.0,-0.06940754002470476
EN_ATM_CO2GDP                         ,-0.06940754002470476,1.0
