UniqueID,ER_MRN_MARIN              A           ,ER_MRN_MARINT              A           ,ER_MRN_MPA                         
ER_MRN_MARIN              A           ,,,
ER_MRN_MARINT              A           ,,,
ER_MRN_MPA                         ,,,1.0
