UniqueID,EN_MAR_BEALITSQ                         ,EN_MAR_CHLDEV                         
EN_MAR_BEALITSQ                         ,1.0,-0.20759292733398996
EN_MAR_CHLDEV                         ,-0.20759292733398996,1.0
