UniqueID,SH_SAN_DEFECT          ALLAREA               ,SH_SAN_HNDWSH          ALLAREA               
SH_SAN_DEFECT          ALLAREA               ,1.0,-0.9903516338610441
SH_SAN_HNDWSH          ALLAREA               ,-0.9903516338610441,1.0
