UniqueID,TimePeriod,SG_GEN_LOCGELS FEMALE                        ,SG_GEN_PARL FEMALE                        ,SG_GEN_PARLN FEMALE                        ,SG_GEN_PARLNT BOTHSEX                        
TimePeriod,1.0,1.0,0.6483128179159781,0.6682568420134474,
SG_GEN_LOCGELS FEMALE                        ,1.0,1.0,1.0,1.0,
SG_GEN_PARL FEMALE                        ,0.6483128179159781,1.0,1.0,0.9957203297956264,
SG_GEN_PARLN FEMALE                        ,0.6682568420134474,1.0,0.9957203297956264,1.0,
SG_GEN_PARLNT BOTHSEX                        ,,,,,
