UniqueID,TM_TAX_WMFN             AGR            ,TM_TAX_WMFN             ALP            ,TM_TAX_WMFN             ARM            ,TM_TAX_WMFN             CLO            ,TM_TAX_WMFN             IND            ,TM_TAX_WMFN             OIL            ,TM_TAX_WMFN             TEX            ,TM_TAX_WMPS             AGR            ,TM_TAX_WMPS             ALP            ,TM_TAX_WMPS             ARM            ,TM_TAX_WMPS             CLO            ,TM_TAX_WMPS             IND            ,TM_TAX_WMPS             OIL            ,TM_TAX_WMPS             TEX            
TM_TAX_WMFN             AGR            ,1.0,0.9907112936607084,0.3712444041367472,0.6664374764162456,0.4041257297409313,,0.5798094061454687,-0.5352248882938941,-0.4941956771541974,0.3531688521052441,0.999507271587746,-0.5227143505832105,,-0.2660939005796937
TM_TAX_WMFN             ALP            ,0.9907112936607084,1.0,0.24881507377685136,0.7570223265265414,0.5247084295581064,,0.6825491487615657,-0.6414384514523865,-0.6066757756640608,0.22865890094191632,0.992731332123711,-0.633539801045618,,-0.3944902052424271
TM_TAX_WMFN             ARM            ,0.3712444041367472,0.24881507377685136,1.0,-0.4443510511370167,-0.6422148052763209,,-0.53570002352449,0.5826435709101291,0.607345828015459,0.9993325087740716,0.3470292657263585,0.5675096543519033,,0.7602979583490832
TM_TAX_WMFN             CLO            ,0.6664374764162456,0.7570223265265414,-0.4443510511370167,1.0,0.9144771583624522,,0.9917722231061592,-0.9857258601595716,-0.9688797353808032,-0.4621414141806867,0.6848794499770611,-0.9660937277232203,,-0.874411222075312
TM_TAX_WMFN             IND            ,0.4041257297409313,0.5247084295581064,-0.6422148052763209,0.9144771583624522,1.0,,0.956906295944362,-0.9585981754376276,-0.9838839386965341,-0.6653189909366944,0.4201548056645856,-0.9877034210908695,,-0.986133188561141
TM_TAX_WMFN             OIL            ,,,,,,,,,,,,,,
TM_TAX_WMFN             TEX            ,0.5798094061454687,0.6825491487615657,-0.53570002352449,0.9917722231061592,0.956906295944362,,1.0,-0.9981598755973106,-0.9925507995714151,-0.554512205190046,0.5987023780515858,-0.9893515320457501,,-0.9292507565701572
TM_TAX_WMPS             AGR            ,-0.5352248882938941,-0.6414384514523865,0.5826435709101291,-0.9857258601595716,-0.9585981754376276,,-0.9981598755973106,1.0,0.9940469824426017,0.6000882951506891,-0.5554295458857733,0.9870960119856659,,0.9409271052664633
TM_TAX_WMPS             ALP            ,-0.4941956771541974,-0.6066757756640608,0.607345828015459,-0.9688797353808032,-0.9838839386965341,,-0.9925507995714151,0.9940469824426017,1.0,0.6272415782678274,-0.5128982354606798,0.9974067034979016,,0.966660048788141
TM_TAX_WMPS             ARM            ,0.3531688521052441,0.22865890094191632,0.9993325087740716,-0.4621414141806867,-0.6653189909366944,,-0.554512205190046,0.6000882951506891,0.6272415782678274,1.0,0.32934607709858515,0.5895230302816169,,0.7795371842449341
TM_TAX_WMPS             CLO            ,0.999507271587746,0.992731332123711,0.3470292657263585,0.6848794499770611,0.4201548056645856,,0.5987023780515858,-0.5554295458857733,-0.5128982354606798,0.32934607709858515,1.0,-0.5395550174068138,,-0.28510451139185394
TM_TAX_WMPS             IND            ,-0.5227143505832105,-0.633539801045618,0.5675096543519033,-0.9660937277232203,-0.9877034210908695,,-0.9893515320457501,0.9870960119856659,0.9974067034979016,0.5895230302816169,-0.5395550174068138,1.0,,0.9608359736391432
TM_TAX_WMPS             OIL            ,,,,,,,,,,,,,,
TM_TAX_WMPS             TEX            ,-0.2660939005796937,-0.3944902052424271,0.7602979583490832,-0.874411222075312,-0.986133188561141,,-0.9292507565701572,0.9409271052664633,0.966660048788141,0.7795371842449341,-0.28510451139185394,0.9608359736391432,,1.0
