UniqueID,TimePeriod,ER_MTN_GRNCVI   1           A           ,ER_MTN_GRNCVI   2           A           ,ER_MTN_GRNCVI   3           A           ,ER_MTN_GRNCVI   4           A           ,ER_MTN_GRNCVI   5           A           ,ER_MTN_GRNCVI   6           A           ,ER_MTN_GRNCVI   ALL           A           
TimePeriod,1.0,,,-1.0,-1.0,-1.0,-1.0,-1.0
ER_MTN_GRNCVI   1           A           ,,,,,,,,
ER_MTN_GRNCVI   2           A           ,,,,,,,,
ER_MTN_GRNCVI   3           A           ,-1.0,,,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999
ER_MTN_GRNCVI   4           A           ,-1.0,,,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999
ER_MTN_GRNCVI   5           A           ,-1.0,,,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0
ER_MTN_GRNCVI   6           A           ,-1.0,,,1.0,1.0,0.9999999999999999,1.0,1.0
ER_MTN_GRNCVI   ALL           A           ,-1.0,,,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0
