UniqueID,IS_RDP_FRGVOL     AIR                    ,IS_RDP_FRGVOL     IWW                    ,IS_RDP_FRGVOL     RAI                    ,IS_RDP_FRGVOL     ROA                    ,IS_RDP_PFVOL     AIR                    ,IS_RDP_PFVOL     RAI                    ,IS_RDP_PFVOL     ROA                    ,IS_RDP_PORFVOL     SEA                    
IS_RDP_FRGVOL     AIR                    ,1.0,-1.0,-1.0,-1.0,0.999245875483411,0.9999999999999998,-1.0,-0.3268216510532315
IS_RDP_FRGVOL     IWW                    ,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0
IS_RDP_FRGVOL     RAI                    ,-1.0,1.0,1.0,0.9999999999999998,-1.0,-0.9999999999999999,1.0,1.0
IS_RDP_FRGVOL     ROA                    ,-1.0,1.0,0.9999999999999998,1.0,-0.9999999999999999,-1.0,1.0,1.0
IS_RDP_PFVOL     AIR                    ,0.999245875483411,-1.0,-1.0,-0.9999999999999999,1.0,1.0,-1.0,-0.2898785740792373
IS_RDP_PFVOL     RAI                    ,0.9999999999999998,-1.0,-0.9999999999999999,-1.0,1.0,1.0,-1.0,-0.9999999999999999
IS_RDP_PFVOL     ROA                    ,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0
IS_RDP_PORFVOL     SEA                    ,-0.3268216510532315,1.0,1.0,1.0,-0.2898785740792373,-0.9999999999999999,1.0,1.0
