,UniqueID,Goal,Target,Indicator,SeriesCode
3448,EN_ATM_PM25          ALLAREA               ,11.0,11.6,11.6.2,EN_ATM_PM25
3449,EN_ATM_PM25          RURAL               ,11.0,11.6,11.6.2,EN_ATM_PM25
3450,EN_ATM_PM25          URBAN               ,11.0,11.6,11.6.2,EN_ATM_PM25
3451,EN_ATM_PM25          RURAL               ,11.0,11.6,11.6.2,EN_ATM_PM25
3452,EN_ATM_PM25          URBAN               ,11.0,11.6,11.6.2,EN_ATM_PM25
3453,EN_ATM_PM25          ALLAREA               ,11.0,11.6,11.6.2,EN_ATM_PM25
3454,EN_ATM_PM25          ALLAREA               ,11.0,11.6,11.6.2,EN_ATM_PM25
3455,EN_ATM_PM25          RURAL               ,11.0,11.6,11.6.2,EN_ATM_PM25
3456,EN_ATM_PM25          URBAN               ,11.0,11.6,11.6.2,EN_ATM_PM25
3457,EN_ATM_PM25          URBAN               ,11.0,11.6,11.6.2,EN_ATM_PM25
3458,EN_ATM_PM25          RURAL               ,11.0,11.6,11.6.2,EN_ATM_PM25
3459,EN_ATM_PM25          ALLAREA               ,11.0,11.6,11.6.2,EN_ATM_PM25
3460,EN_ATM_PM25          ALLAREA               ,11.0,11.6,11.6.2,EN_ATM_PM25
3461,EN_ATM_PM25          RURAL               ,11.0,11.6,11.6.2,EN_ATM_PM25
3462,EN_ATM_PM25          URBAN               ,11.0,11.6,11.6.2,EN_ATM_PM25
