UniqueID,TimePeriod,SH_STA_WAST                  <5Y       ,SH_STA_WASTN                  <5Y       ,SN_STA_OVWGT                  <5Y       ,SN_STA_OVWGTN                  <5Y       
TimePeriod,1.0,-1.0,-1.0,-1.0,0.9616926086871096
SH_STA_WAST                  <5Y       ,-1.0,1.0,1.0,1.0,-1.0
SH_STA_WASTN                  <5Y       ,-1.0,1.0,1.0,1.0,-1.0000000000000002
SN_STA_OVWGT                  <5Y       ,-1.0,1.0,1.0,1.0,-1.0
SN_STA_OVWGTN                  <5Y       ,0.9616926086871096,-1.0,-1.0000000000000002,-1.0,1.0
