UniqueID,BN_CAB_XOKA_GD_ZS                         ,BN_KLT_PTXL_CD                         ,BX_KLT_DINV_WD_GD_ZS                         ,DP_DOD_DLD2_CR_CG_Z1                         ,DT_DOD_DECT_GN_ZS                         ,FB_BNK_CAPA_ZS                         ,FI_RES_TOTL_MO                         ,FM_LBL_BMNY_IR_ZS                         ,FM_LBL_BMNY_ZG                         ,FP_CPI_TOTL_ZG                         ,GC_TAX_TOTL_GD_ZS                         ,NE_CON_GOVT_KD_ZG                         ,NE_EXP_GNFS_KD_ZG                         ,NE_GDI_TOTL_KD_ZG                         ,NE_IMP_GNFS_KD_ZG                         ,NY_GDP_MKTP_KD_ZG                         ,TG_VAL_TOTL_GD_ZS                         
BN_CAB_XOKA_GD_ZS                         ,1.0,0.3383962536576807,-0.5820775101320026,0.7719535925414466,0.38882263969982167,0.4260945925838978,0.960412555544724,0.022652967293117204,0.05217937766911065,-0.5789896213276916,-0.449863220538571,-0.4570319068193748,-0.5255494518241297,-0.6743749307705926,-0.576284883577625,-0.8010436615912644,-0.731613265464094
BN_KLT_PTXL_CD                         ,0.3383962536576807,1.0,-0.0443582402869411,0.43130693192612973,-0.4122012754260819,-0.2746646621785865,0.14373179335569305,0.5581176796545079,0.3391326744940293,-0.36372149118424024,0.4738232607354699,0.42575257727057964,-0.2540051626523929,-0.30440821631477316,-0.11137415593247829,-0.5238548429233936,0.014084654060502733
BX_KLT_DINV_WD_GD_ZS                         ,-0.5820775101320026,-0.0443582402869411,1.0,-0.3991921266513502,-0.31104734968594466,-0.43588866633979023,-0.6467983582400585,0.08830603316640837,0.2726735265456248,0.5873199321929783,0.37756856658656773,0.5184407081291923,0.15889783357782228,-0.06040469644484255,0.060522631297270015,0.21047109134873462,0.6393399107441946
DP_DOD_DLD2_CR_CG_Z1                         ,0.7719535925414466,0.43130693192612973,-0.3991921266513502,1.0,0.8785391584745116,0.982397695306653,0.7970009063443473,0.4079454873995568,-0.25602731806102214,-0.7593565095889718,-0.9369697771960512,-0.29813747661113926,-0.5044818938972975,-0.788850712865097,-0.5992097519373433,-0.8919790741943163,-0.7825614434404198
DT_DOD_DECT_GN_ZS                         ,0.38882263969982167,-0.4122012754260819,-0.31104734968594466,0.8785391584745116,1.0,0.8327747215015215,0.5751574136457398,-0.12333379880617776,-0.9328423034050565,-0.36326232768909533,-0.83458034933957,-0.31531273224816847,-0.04258609946528009,-0.3654633125987821,-0.26201795560339114,-0.892386992149972,-0.7959120559108491
FB_BNK_CAPA_ZS                         ,0.4260945925838978,-0.2746646621785865,-0.43588866633979023,0.982397695306653,0.8327747215015215,1.0,0.5954798392982305,-0.017659362491130436,-0.9311441223453444,-0.749409341091487,-0.9754556422788372,-0.30771065901605577,0.19990562136139609,-0.2318998625064615,-0.08513665912390012,-0.6036751111981327,-0.8721787126038684
FI_RES_TOTL_MO                         ,0.960412555544724,0.14373179335569305,-0.6467983582400585,0.7970009063443473,0.5751574136457398,0.5954798392982305,1.0,-0.033103224107018735,-0.08815796456397863,-0.6385761913635838,-0.6594372121717841,-0.640699148116397,-0.5618517534991162,-0.6727441748751216,-0.6251845030322988,-0.7704332726467328,-0.8436665725015193
FM_LBL_BMNY_IR_ZS                         ,0.022652967293117204,0.5581176796545079,0.08830603316640837,0.4079454873995568,-0.12333379880617776,-0.017659362491130436,-0.033103224107018735,1.0,0.031197982263733905,-0.14265981264770036,0.12061130240701907,0.40707463027124385,-0.24169262476095,-0.5869323571260788,-0.3805624853705486,-0.4121564080443276,-0.11563565613487962
FM_LBL_BMNY_ZG                         ,0.05217937766911065,0.3391326744940293,0.2726735265456248,-0.25602731806102214,-0.9328423034050565,-0.9311441223453444,-0.08815796456397863,0.031197982263733905,1.0,0.2777306263659971,0.8901080492197196,0.0511857434263994,-0.286713523258124,-0.04493850359801156,-0.07075933469140347,-0.17107611022299202,0.542691074782186
FP_CPI_TOTL_ZG                         ,-0.5789896213276916,-0.36372149118424024,0.5873199321929783,-0.7593565095889718,-0.36326232768909533,-0.749409341091487,-0.6385761913635838,-0.14265981264770036,0.2777306263659971,1.0,0.6849977963329562,0.3961150199080039,0.23269960737049514,0.30231774989078536,0.20857992342229623,0.5347749606897101,0.690199146655604
GC_TAX_TOTL_GD_ZS                         ,-0.449863220538571,0.4738232607354699,0.37756856658656773,-0.9369697771960512,-0.83458034933957,-0.9754556422788372,-0.6594372121717841,0.12061130240701907,0.8901080492197196,0.6849977963329562,1.0,0.4489286766045099,-0.16810307247958783,0.2871962067116834,0.14417039191473557,0.6761841411330352,0.8753075091776842
NE_CON_GOVT_KD_ZG                         ,-0.4570319068193748,0.42575257727057964,0.5184407081291923,-0.29813747661113926,-0.31531273224816847,-0.30771065901605577,-0.640699148116397,0.40707463027124385,0.0511857434263994,0.3961150199080039,0.4489286766045099,1.0,0.2863641849054579,0.17356542942777667,0.2381278333688498,0.2894917210457363,0.5127491655854425
NE_EXP_GNFS_KD_ZG                         ,-0.5255494518241297,-0.2540051626523929,0.15889783357782228,-0.5044818938972975,-0.04258609946528009,0.19990562136139609,-0.5618517534991162,-0.24169262476095,-0.286713523258124,0.23269960737049514,-0.16810307247958783,0.2863641849054579,1.0,0.6889292822766393,0.8943209190253301,0.6756323932040459,0.4100050753085122
