UniqueID,SH_PRV_SMOK BOTHSEX                 15+       ,SH_PRV_SMOK FEMALE                 15+       ,SH_PRV_SMOK MALE                 15+       
SH_PRV_SMOK BOTHSEX                 15+       ,1.0,0.8992288030259001,-0.7567450038061307
SH_PRV_SMOK FEMALE                 15+       ,0.8992288030259001,1.0,-0.9503552146020453
SH_PRV_SMOK MALE                 15+       ,-0.7567450038061307,-0.9503552146020453,1.0
