UniqueID,TimePeriod,SH_STA_STNT                  <5Y       ,SH_STA_STNTN                  <5Y       
TimePeriod,1.0,-1.0,-0.8832290588915932
SH_STA_STNT                  <5Y       ,-1.0,1.0,0.9999999999999998
SH_STA_STNTN                  <5Y       ,-0.8832290588915932,0.9999999999999998,1.0
