UniqueID,TimePeriod,SH_ACS_DTP3                         ,SH_ACS_HPV                         ,SH_ACS_MCV2                         ,SH_ACS_PCV3                         
TimePeriod,1.0,-0.6235477811794194,-0.8660254037844386,0.05261575703841408,0.5773502691896257
SH_ACS_DTP3                         ,-0.6235477811794194,1.0,,0.270839316910242,-0.18620973068096466
SH_ACS_HPV                         ,-0.8660254037844386,,1.0,-0.8660254037844386,-0.5
SH_ACS_MCV2                         ,0.05261575703841408,0.270839316910242,-0.8660254037844386,1.0,0.25777666521297316
SH_ACS_PCV3                         ,0.5773502691896257,-0.18620973068096466,-0.5,0.25777666521297316,1.0
