UniqueID,TimePeriod,SH_DYN_NMRT BOTHSEX                 <1M       ,SH_DYN_NMRTN BOTHSEX                 <1M       
TimePeriod,1.0,-0.9988176315934442,-0.9992320450113373
SH_DYN_NMRT BOTHSEX                 <1M       ,-0.9988176315934442,1.0,0.9997633607632673
SH_DYN_NMRTN BOTHSEX                 <1M       ,-0.9992320450113373,0.9997633607632673,1.0
