UniqueID,FB_ATM_TOTL              A    15+       ,FB_CBK_BRCH              A    15+       
FB_ATM_TOTL              A    15+       ,1.0,-0.27751121002707757
FB_CBK_BRCH              A    15+       ,-0.27751121002707757,1.0
