UniqueID,TimePeriod,BN_CAB_XOKA_GD_ZS                         ,BN_KLT_PTXL_CD                         ,BX_KLT_DINV_WD_GD_ZS                         ,DP_DOD_DLD2_CR_CG_Z1                         ,DT_DOD_DECT_GN_ZS                         ,FB_BNK_CAPA_ZS                         ,FI_RES_TOTL_MO                         ,FM_LBL_BMNY_IR_ZS                         ,FM_LBL_BMNY_ZG                         ,FP_CPI_TOTL_ZG                         ,GC_TAX_TOTL_GD_ZS                         ,NE_CON_GOVT_KD_ZG                         ,NE_EXP_GNFS_KD_ZG                         ,NE_GDI_TOTL_KD_ZG                         ,NE_IMP_GNFS_KD_ZG                         ,NY_GDP_MKTP_KD_ZG                         ,TG_VAL_TOTL_GD_ZS                         
TimePeriod,1.0,0.567635231344803,0.1326927717536336,-0.3475948607317541,0.900189558852172,0.8694745486536678,0.9794313329795542,0.6757585722546962,0.28838817251604976,-0.6233832492492295,-0.777668084477585,-0.9571682962321638,-0.3426958426649762,-0.27852325769485564,-0.5901369990937908,-0.4440847154633965,-0.6222066376811828,-0.8652348591814133
BN_CAB_XOKA_GD_ZS                         ,0.567635231344803,1.0,0.3383962536576807,-0.5820775101320026,0.7719535925414466,0.3888226396998219,0.4260945925838976,0.960412555544724,0.022652967293116427,0.05217937766911037,-0.5789896213276917,-0.44986322053857025,-0.45703190681937467,-0.5255494518241296,-0.6743749307705926,-0.5762848835776249,-0.8010436615912643,-0.731613265464094
BN_KLT_PTXL_CD                         ,0.1326927717536336,0.3383962536576807,1.0,-0.044358240286941165,0.4313069319261295,-0.4122012754260818,-0.2746646621785868,0.14373179335569322,0.558117679654508,0.3391326744940293,-0.3637214911842404,0.4738232607354693,0.4257525772705796,-0.254005162652393,-0.30440821631477316,-0.11137415593247833,-0.5238548429233936,0.014084654060502468
BX_KLT_DINV_WD_GD_ZS                         ,-0.3475948607317541,-0.5820775101320026,-0.044358240286941165,1.0,-0.39919212665135045,-0.3110473496859446,-0.4358886663397904,-0.6467983582400587,0.08830603316640857,0.27267352654562516,0.5873199321929783,0.3775685665865675,0.5184407081291924,0.1588978335778222,-0.06040469644484252,0.06052263129726994,0.21047109134873446,0.6393399107441943
DP_DOD_DLD2_CR_CG_Z1                         ,0.900189558852172,0.7719535925414466,0.4313069319261295,-0.39919212665135045,1.0,0.8785391584745117,0.9823976953066531,0.7970009063443471,0.40794548739955566,-0.25602731806102236,-0.7593565095889719,-0.9369697771960512,-0.2981374766111392,-0.5044818938972973,-0.7888507128650969,-0.5992097519373432,-0.8919790741943161,-0.7825614434404201
DT_DOD_DECT_GN_ZS                         ,0.8694745486536678,0.3888226396998219,-0.4122012754260818,-0.3110473496859446,0.8785391584745117,1.0,0.8327747215015217,0.5751574136457398,-0.12333379880617835,-0.9328423034050569,-0.3632623276890954,-0.8345803493395691,-0.3153127322481684,-0.04258609946527997,-0.3654633125987819,-0.262017955603391,-0.8923869921499721,-0.7959120559108492
FB_BNK_CAPA_ZS                         ,0.9794313329795542,0.4260945925838976,-0.2746646621785868,-0.4358886663397904,0.9823976953066531,0.8327747215015217,1.0,0.5954798392982307,-0.017659362491131175,-0.9311441223453446,-0.7494093410914872,-0.9754556422788375,-0.30771065901605577,0.19990562136139592,-0.23189986250646177,-0.08513665912390035,-0.6036751111981329,-0.8721787126038688
FI_RES_TOTL_MO                         ,0.6757585722546962,0.960412555544724,0.14373179335569322,-0.6467983582400587,0.7970009063443471,0.5751574136457398,0.5954798392982307,1.0,-0.0331032241070194,-0.08815796456397874,-0.6385761913635838,-0.6594372121717836,-0.6406991481163969,-0.5618517534991162,-0.6727441748751217,-0.6251845030322989,-0.770433272646733,-0.8436665725015192
FM_LBL_BMNY_IR_ZS                         ,0.28838817251604976,0.022652967293116427,0.558117679654508,0.08830603316640857,0.40794548739955566,-0.12333379880617835,-0.017659362491131175,-0.0331032241070194,1.0,0.031197982263733978,-0.1426598126476999,0.12061130240701937,0.40707463027124435,-0.24169262476094966,-0.5869323571260784,-0.38056248537054826,-0.4121564080443272,-0.11563565613487947
FM_LBL_BMNY_ZG                         ,-0.6233832492492295,0.05217937766911037,0.3391326744940293,0.27267352654562516,-0.25602731806102236,-0.9328423034050569,-0.9311441223453446,-0.08815796456397874,0.031197982263733978,1.0,0.2777306263659972,0.8901080492197195,0.05118574342639944,-0.28671352325812405,-0.04493850359801147,-0.07075933469140337,-0.17107611022299166,0.5426910747821863
FP_CPI_TOTL_ZG                         ,-0.777668084477585,-0.5789896213276917,-0.3637214911842404,0.5873199321929783,-0.7593565095889719,-0.3632623276890954,-0.7494093410914872,-0.6385761913635838,-0.1426598126476999,0.2777306263659972,1.0,0.6849977963329572,0.3961150199080037,0.2326996073704952,0.30231774989078547,0.20857992342229625,0.5347749606897101,0.6901991466556038
GC_TAX_TOTL_GD_ZS                         ,-0.9571682962321638,-0.44986322053857025,0.4738232607354693,0.3775685665865675,-0.9369697771960512,-0.8345803493395691,-0.9754556422788375,-0.6594372121717836,0.12061130240701937,0.8901080492197195,0.6849977963329572,1.0,0.4489286766045093,-0.16810307247958806,0.2871962067116832,0.1441703919147354,0.6761841411330346,0.8753075091776833
NE_CON_GOVT_KD_ZG                         ,-0.3426958426649762,-0.45703190681937467,0.4257525772705796,0.5184407081291924,-0.2981374766111392,-0.3153127322481684,-0.30771065901605577,-0.6406991481163969,0.40707463027124435,0.05118574342639944,0.3961150199080037,0.4489286766045093,1.0,0.28636418490545773,0.17356542942777659,0.23812783336884977,0.2894917210457363,0.5127491655854423
