UniqueID,AG_PRD_AGVAS              A           ,AG_PRD_ORTIND              A           ,AG_XPD_AGSGB              A           
AG_PRD_AGVAS              A           ,1.0,-0.7297432133746611,-0.7011484787872794
AG_PRD_ORTIND              A           ,-0.7297432133746611,1.0,0.9991095326328977
AG_XPD_AGSGB              A           ,-0.7011484787872794,0.9991095326328977,1.0
