UniqueID,TimePeriod,SH_PRV_SMOK BOTHSEX                 15+       ,SH_PRV_SMOK FEMALE                 15+       ,SH_PRV_SMOK MALE                 15+       
TimePeriod,1.0,-0.9233805168766387,-0.9978157964455983,0.9288092200038612
SH_PRV_SMOK BOTHSEX                 15+       ,-0.9233805168766387,1.0,0.8992288030258968,-0.7567450038061346
SH_PRV_SMOK FEMALE                 15+       ,-0.9978157964455983,0.8992288030258968,1.0,-0.9503552146020479
SH_PRV_SMOK MALE                 15+       ,0.9288092200038612,-0.7567450038061346,-0.9503552146020479,1.0
