,UniqueID,Goal,Target,Indicator,SeriesCode
2717,SL_EMP_EARN BOTHSEX              isco08          ,8.0,8.5,8.5.1,SL_EMP_EARN
2718,SL_EMP_EARN BOTHSEX              isco08-1          ,8.0,8.5,8.5.1,SL_EMP_EARN
2719,SL_EMP_EARN BOTHSEX              isco08-2          ,8.0,8.5,8.5.1,SL_EMP_EARN
2720,SL_EMP_EARN FEMALE              isco08-1          ,8.0,8.5,8.5.1,SL_EMP_EARN
2721,SL_EMP_EARN FEMALE              isco08-2          ,8.0,8.5,8.5.1,SL_EMP_EARN
2722,SL_EMP_EARN FEMALE              isco08-3          ,8.0,8.5,8.5.1,SL_EMP_EARN
2723,SL_EMP_EARN FEMALE              isco08-4          ,8.0,8.5,8.5.1,SL_EMP_EARN
2724,SL_EMP_EARN FEMALE              isco08-5          ,8.0,8.5,8.5.1,SL_EMP_EARN
2725,SL_EMP_EARN MALE              isco08          ,8.0,8.5,8.5.1,SL_EMP_EARN
2726,SL_EMP_EARN MALE              isco08-1          ,8.0,8.5,8.5.1,SL_EMP_EARN
2727,SL_EMP_EARN MALE              isco08-2          ,8.0,8.5,8.5.1,SL_EMP_EARN
2728,SL_EMP_EARN MALE              isco08-3          ,8.0,8.5,8.5.1,SL_EMP_EARN
2729,SL_EMP_EARN MALE              isco08-4          ,8.0,8.5,8.5.1,SL_EMP_EARN
2730,SL_EMP_EARN MALE              isco08-5          ,8.0,8.5,8.5.1,SL_EMP_EARN
2731,SL_EMP_EARN MALE              isco08-7          ,8.0,8.5,8.5.1,SL_EMP_EARN
2732,SL_EMP_EARN MALE              isco08-8          ,8.0,8.5,8.5.1,SL_EMP_EARN
2733,SL_EMP_EARN MALE              isco08-9          ,8.0,8.5,8.5.1,SL_EMP_EARN
2734,SL_EMP_EARN FEMALE              isco08-7          ,8.0,8.5,8.5.1,SL_EMP_EARN
2735,SL_EMP_EARN FEMALE              isco08          ,8.0,8.5,8.5.1,SL_EMP_EARN
2736,SL_EMP_EARN BOTHSEX              isco08-3          ,8.0,8.5,8.5.1,SL_EMP_EARN
2737,SL_EMP_EARN BOTHSEX              isco08-4          ,8.0,8.5,8.5.1,SL_EMP_EARN
2738,SL_EMP_EARN BOTHSEX              isco08-5          ,8.0,8.5,8.5.1,SL_EMP_EARN
2739,SL_EMP_EARN BOTHSEX              isco08-7          ,8.0,8.5,8.5.1,SL_EMP_EARN
2740,SL_EMP_EARN BOTHSEX              isco08-8          ,8.0,8.5,8.5.1,SL_EMP_EARN
2741,SL_EMP_EARN BOTHSEX              isco08-9          ,8.0,8.5,8.5.1,SL_EMP_EARN
2742,SL_EMP_EARN FEMALE              isco08-8          ,8.0,8.5,8.5.1,SL_EMP_EARN
2743,SL_EMP_EARN FEMALE              isco08-9          ,8.0,8.5,8.5.1,SL_EMP_EARN
2744,SL_EMP_EARN BOTHSEX              isco08-7          ,8.0,8.5,8.5.1,SL_EMP_EARN
2745,SL_EMP_EARN BOTHSEX              isco08-6          ,8.0,8.5,8.5.1,SL_EMP_EARN
2746,SL_EMP_EARN MALE              isco08-7          ,8.0,8.5,8.5.1,SL_EMP_EARN
2747,SL_EMP_EARN BOTHSEX              isco08-8          ,8.0,8.5,8.5.1,SL_EMP_EARN
2748,SL_EMP_EARN MALE              isco08-8          ,8.0,8.5,8.5.1,SL_EMP_EARN
2749,SL_EMP_EARN MALE              isco08-9          ,8.0,8.5,8.5.1,SL_EMP_EARN
2750,SL_EMP_EARN MALE              isco08-0          ,8.0,8.5,8.5.1,SL_EMP_EARN
2751,SL_EMP_EARN FEMALE              isco08          ,8.0,8.5,8.5.1,SL_EMP_EARN
2752,SL_EMP_EARN FEMALE              isco08-4          ,8.0,8.5,8.5.1,SL_EMP_EARN
2753,SL_EMP_EARN FEMALE              isco08-1          ,8.0,8.5,8.5.1,SL_EMP_EARN
2754,SL_EMP_EARN BOTHSEX              isco08-9          ,8.0,8.5,8.5.1,SL_EMP_EARN
2755,SL_EMP_EARN BOTHSEX              isco08-0          ,8.0,8.5,8.5.1,SL_EMP_EARN
2756,SL_EMP_EARN MALE              isco08          ,8.0,8.5,8.5.1,SL_EMP_EARN
2757,SL_EMP_EARN BOTHSEX              isco08          ,8.0,8.5,8.5.1,SL_EMP_EARN
2758,SL_EMP_EARN BOTHSEX              isco08-1          ,8.0,8.5,8.5.1,SL_EMP_EARN
2759,SL_EMP_EARN BOTHSEX              isco08-2          ,8.0,8.5,8.5.1,SL_EMP_EARN
2760,SL_EMP_EARN BOTHSEX              isco08-3          ,8.0,8.5,8.5.1,SL_EMP_EARN
2761,SL_EMP_EARN BOTHSEX              isco08-4          ,8.0,8.5,8.5.1,SL_EMP_EARN
2762,SL_EMP_EARN BOTHSEX              isco08-5          ,8.0,8.5,8.5.1,SL_EMP_EARN
2763,SL_EMP_EARN FEMALE              isco08-5          ,8.0,8.5,8.5.1,SL_EMP_EARN
2764,SL_EMP_EARN FEMALE              isco08-6          ,8.0,8.5,8.5.1,SL_EMP_EARN
2765,SL_EMP_EARN FEMALE              isco08-7          ,8.0,8.5,8.5.1,SL_EMP_EARN
2766,SL_EMP_EARN FEMALE              isco08-8          ,8.0,8.5,8.5.1,SL_EMP_EARN
2767,SL_EMP_EARN FEMALE              isco08-9          ,8.0,8.5,8.5.1,SL_EMP_EARN
2768,SL_EMP_EARN FEMALE              isco08-3          ,8.0,8.5,8.5.1,SL_EMP_EARN
2769,SL_EMP_EARN FEMALE              isco08-2          ,8.0,8.5,8.5.1,SL_EMP_EARN
2770,SL_EMP_EARN MALE              isco08-1          ,8.0,8.5,8.5.1,SL_EMP_EARN
2771,SL_EMP_EARN MALE              isco08-2          ,8.0,8.5,8.5.1,SL_EMP_EARN
2772,SL_EMP_EARN MALE              isco08-3          ,8.0,8.5,8.5.1,SL_EMP_EARN
2773,SL_EMP_EARN MALE              isco08-4          ,8.0,8.5,8.5.1,SL_EMP_EARN
2774,SL_EMP_EARN MALE              isco08-5          ,8.0,8.5,8.5.1,SL_EMP_EARN
2775,SL_EMP_EARN MALE              isco08-6          ,8.0,8.5,8.5.1,SL_EMP_EARN
2776,SL_EMP_EARN BOTHSEX              isco08          ,8.0,8.5,8.5.1,SL_EMP_EARN
2777,SL_EMP_EARN FEMALE              isco08-7          ,8.0,8.5,8.5.1,SL_EMP_EARN
2778,SL_EMP_EARN FEMALE              isco08-8          ,8.0,8.5,8.5.1,SL_EMP_EARN
2779,SL_EMP_EARN FEMALE              isco08-9          ,8.0,8.5,8.5.1,SL_EMP_EARN
2780,SL_EMP_EARN FEMALE              isco08          ,8.0,8.5,8.5.1,SL_EMP_EARN
2781,SL_EMP_EARN FEMALE              isco08-1          ,8.0,8.5,8.5.1,SL_EMP_EARN
2782,SL_EMP_EARN FEMALE              isco08-2          ,8.0,8.5,8.5.1,SL_EMP_EARN
2783,SL_EMP_EARN FEMALE              isco08-3          ,8.0,8.5,8.5.1,SL_EMP_EARN
2784,SL_EMP_EARN BOTHSEX              isco08-8          ,8.0,8.5,8.5.1,SL_EMP_EARN
2785,SL_EMP_EARN FEMALE              isco08-5          ,8.0,8.5,8.5.1,SL_EMP_EARN
2786,SL_EMP_EARN MALE              isco08-1          ,8.0,8.5,8.5.1,SL_EMP_EARN
2787,SL_EMP_EARN FEMALE              isco08-6          ,8.0,8.5,8.5.1,SL_EMP_EARN
2788,SL_EMP_EARN BOTHSEX              isco08-9          ,8.0,8.5,8.5.1,SL_EMP_EARN
2789,SL_EMP_EARN MALE              isco08          ,8.0,8.5,8.5.1,SL_EMP_EARN
2790,SL_EMP_EARN FEMALE              isco08-4          ,8.0,8.5,8.5.1,SL_EMP_EARN
2791,SL_EMP_EARN MALE              isco08-2          ,8.0,8.5,8.5.1,SL_EMP_EARN
2792,SL_EMP_EARN BOTHSEX              isco08-1          ,8.0,8.5,8.5.1,SL_EMP_EARN
2793,SL_EMP_EARN BOTHSEX              isco08-2          ,8.0,8.5,8.5.1,SL_EMP_EARN
2794,SL_EMP_EARN BOTHSEX              isco08-7          ,8.0,8.5,8.5.1,SL_EMP_EARN
2795,SL_EMP_EARN BOTHSEX              isco08-3          ,8.0,8.5,8.5.1,SL_EMP_EARN
2796,SL_EMP_EARN BOTHSEX              isco08-4          ,8.0,8.5,8.5.1,SL_EMP_EARN
2797,SL_EMP_EARN BOTHSEX              isco08-5          ,8.0,8.5,8.5.1,SL_EMP_EARN
2798,SL_EMP_EARN BOTHSEX              isco08-6          ,8.0,8.5,8.5.1,SL_EMP_EARN
2799,SL_EMP_EARN MALE              isco08-3          ,8.0,8.5,8.5.1,SL_EMP_EARN
2800,SL_EMP_EARN MALE              isco08-4          ,8.0,8.5,8.5.1,SL_EMP_EARN
2801,SL_EMP_EARN MALE              isco08-5          ,8.0,8.5,8.5.1,SL_EMP_EARN
2802,SL_EMP_EARN MALE              isco08-6          ,8.0,8.5,8.5.1,SL_EMP_EARN
2803,SL_EMP_EARN MALE              isco08-7          ,8.0,8.5,8.5.1,SL_EMP_EARN
2804,SL_EMP_EARN MALE              isco08-8          ,8.0,8.5,8.5.1,SL_EMP_EARN
2805,SL_EMP_EARN MALE              isco08-9          ,8.0,8.5,8.5.1,SL_EMP_EARN
2806,SL_EMP_EARN MALE              isco08          ,8.0,8.5,8.5.1,SL_EMP_EARN
2807,SL_EMP_EARN BOTHSEX              isco08          ,8.0,8.5,8.5.1,SL_EMP_EARN
2808,SL_EMP_EARN BOTHSEX              isco08-1          ,8.0,8.5,8.5.1,SL_EMP_EARN
2809,SL_EMP_EARN BOTHSEX              isco08-2          ,8.0,8.5,8.5.1,SL_EMP_EARN
2810,SL_EMP_EARN MALE              isco08-7          ,8.0,8.5,8.5.1,SL_EMP_EARN
2811,SL_EMP_EARN MALE              isco08-8          ,8.0,8.5,8.5.1,SL_EMP_EARN
2812,SL_EMP_EARN MALE              isco08-9          ,8.0,8.5,8.5.1,SL_EMP_EARN
2813,SL_EMP_EARN FEMALE              isco08          ,8.0,8.5,8.5.1,SL_EMP_EARN
2814,SL_EMP_EARN MALE              isco08-3          ,8.0,8.5,8.5.1,SL_EMP_EARN
2815,SL_EMP_EARN MALE              isco08-4          ,8.0,8.5,8.5.1,SL_EMP_EARN
2816,SL_EMP_EARN MALE              isco08-5          ,8.0,8.5,8.5.1,SL_EMP_EARN
2817,SL_EMP_EARN FEMALE              isco08-9          ,8.0,8.5,8.5.1,SL_EMP_EARN
2818,SL_EMP_EARN FEMALE              isco08-8          ,8.0,8.5,8.5.1,SL_EMP_EARN
2819,SL_EMP_EARN FEMALE              isco08-5          ,8.0,8.5,8.5.1,SL_EMP_EARN
2820,SL_EMP_EARN BOTHSEX              isco08-4          ,8.0,8.5,8.5.1,SL_EMP_EARN
2821,SL_EMP_EARN BOTHSEX              isco08-5          ,8.0,8.5,8.5.1,SL_EMP_EARN
2822,SL_EMP_EARN BOTHSEX              isco08-6          ,8.0,8.5,8.5.1,SL_EMP_EARN
2823,SL_EMP_EARN BOTHSEX              isco08-7          ,8.0,8.5,8.5.1,SL_EMP_EARN
2824,SL_EMP_EARN BOTHSEX              isco08-8          ,8.0,8.5,8.5.1,SL_EMP_EARN
2825,SL_EMP_EARN BOTHSEX              isco08-9          ,8.0,8.5,8.5.1,SL_EMP_EARN
2826,SL_EMP_EARN BOTHSEX              isco08-3          ,8.0,8.5,8.5.1,SL_EMP_EARN
2827,SL_EMP_EARN MALE              isco08-1          ,8.0,8.5,8.5.1,SL_EMP_EARN
2828,SL_EMP_EARN FEMALE              isco08-7          ,8.0,8.5,8.5.1,SL_EMP_EARN
2829,SL_EMP_EARN FEMALE              isco08-6          ,8.0,8.5,8.5.1,SL_EMP_EARN
2830,SL_EMP_EARN MALE              isco08-2          ,8.0,8.5,8.5.1,SL_EMP_EARN
2831,SL_EMP_EARN MALE              isco08-6          ,8.0,8.5,8.5.1,SL_EMP_EARN
2832,SL_EMP_EARN FEMALE              isco08-1          ,8.0,8.5,8.5.1,SL_EMP_EARN
2833,SL_EMP_EARN FEMALE              isco08-2          ,8.0,8.5,8.5.1,SL_EMP_EARN
2834,SL_EMP_EARN FEMALE              isco08-3          ,8.0,8.5,8.5.1,SL_EMP_EARN
2835,SL_EMP_EARN FEMALE              isco08-4          ,8.0,8.5,8.5.1,SL_EMP_EARN
2836,SL_EMP_EARN MALE              isco08-1          ,8.0,8.5,8.5.1,SL_EMP_EARN
2837,SL_EMP_EARN MALE              isco08-2          ,8.0,8.5,8.5.1,SL_EMP_EARN
2838,SL_EMP_EARN MALE              isco08-3          ,8.0,8.5,8.5.1,SL_EMP_EARN
2839,SL_EMP_EARN FEMALE              isco08-8          ,8.0,8.5,8.5.1,SL_EMP_EARN
2840,SL_EMP_EARN FEMALE              isco08-7          ,8.0,8.5,8.5.1,SL_EMP_EARN
2841,SL_EMP_EARN MALE              isco08-4          ,8.0,8.5,8.5.1,SL_EMP_EARN
2842,SL_EMP_EARN MALE              isco08-5          ,8.0,8.5,8.5.1,SL_EMP_EARN
2843,SL_EMP_EARN MALE              isco08-6          ,8.0,8.5,8.5.1,SL_EMP_EARN
2844,SL_EMP_EARN FEMALE              isco08-4          ,8.0,8.5,8.5.1,SL_EMP_EARN
2845,SL_EMP_EARN FEMALE              isco08-5          ,8.0,8.5,8.5.1,SL_EMP_EARN
2846,SL_EMP_EARN FEMALE              isco08-6          ,8.0,8.5,8.5.1,SL_EMP_EARN
2847,SL_EMP_EARN FEMALE              isco08-9          ,8.0,8.5,8.5.1,SL_EMP_EARN
2848,SL_EMP_EARN BOTHSEX              isco08-8          ,8.0,8.5,8.5.1,SL_EMP_EARN
2849,SL_EMP_EARN BOTHSEX              isco08-9          ,8.0,8.5,8.5.1,SL_EMP_EARN
2850,SL_EMP_EARN BOTHSEX              isco08-0          ,8.0,8.5,8.5.1,SL_EMP_EARN
2851,SL_EMP_EARN MALE              isco08          ,8.0,8.5,8.5.1,SL_EMP_EARN
2852,SL_EMP_EARN BOTHSEX              isco08-5          ,8.0,8.5,8.5.1,SL_EMP_EARN
2853,SL_EMP_EARN MALE              isco08-7          ,8.0,8.5,8.5.1,SL_EMP_EARN
2854,SL_EMP_EARN MALE              isco08-8          ,8.0,8.5,8.5.1,SL_EMP_EARN
2855,SL_EMP_EARN MALE              isco08-9          ,8.0,8.5,8.5.1,SL_EMP_EARN
2856,SL_EMP_EARN MALE              isco08-0          ,8.0,8.5,8.5.1,SL_EMP_EARN
2857,SL_EMP_EARN FEMALE              isco08          ,8.0,8.5,8.5.1,SL_EMP_EARN
2858,SL_EMP_EARN FEMALE              isco08-1          ,8.0,8.5,8.5.1,SL_EMP_EARN
2859,SL_EMP_EARN FEMALE              isco08-2          ,8.0,8.5,8.5.1,SL_EMP_EARN
2860,SL_EMP_EARN FEMALE              isco08-3          ,8.0,8.5,8.5.1,SL_EMP_EARN
2861,SL_EMP_EARN BOTHSEX              isco08-6          ,8.0,8.5,8.5.1,SL_EMP_EARN
2862,SL_EMP_EARN BOTHSEX              isco08-7          ,8.0,8.5,8.5.1,SL_EMP_EARN
2863,SL_EMP_EARN BOTHSEX              isco08          ,8.0,8.5,8.5.1,SL_EMP_EARN
2864,SL_EMP_EARN BOTHSEX              isco08-1          ,8.0,8.5,8.5.1,SL_EMP_EARN
2865,SL_EMP_EARN BOTHSEX              isco08-2          ,8.0,8.5,8.5.1,SL_EMP_EARN
2866,SL_EMP_EARN BOTHSEX              isco08-3          ,8.0,8.5,8.5.1,SL_EMP_EARN
2867,SL_EMP_EARN BOTHSEX              isco08-4          ,8.0,8.5,8.5.1,SL_EMP_EARN
2868,SL_EMP_EARN MALE              isco08-2          ,8.0,8.5,8.5.1,SL_EMP_EARN
2869,SL_EMP_EARN FEMALE              isco08-7          ,8.0,8.5,8.5.1,SL_EMP_EARN
2870,SL_EMP_EARN MALE              isco08-4          ,8.0,8.5,8.5.1,SL_EMP_EARN
2871,SL_EMP_EARN MALE              isco08-9          ,8.0,8.5,8.5.1,SL_EMP_EARN
2872,SL_EMP_EARN MALE              isco08-8          ,8.0,8.5,8.5.1,SL_EMP_EARN
2873,SL_EMP_EARN MALE              isco08-6          ,8.0,8.5,8.5.1,SL_EMP_EARN
