Indicator,2.2.1,2.2.2,2.2.3
2.2.1,1.0,0.9999999999999998,-0.9999999999999992
2.2.2,0.9999999999999998,1.0,-0.9999999999999994
2.2.3,-0.9999999999999992,-0.9999999999999994,1.0
