Indicator,1.5.1,1.5.2,1.5.3,1.5.4
1.5.1,1.0,-1.0,-1.0,1.0
1.5.2,-1.0,1.0,-0.40694462562256023,0.12608711300963632
1.5.3,-1.0,-0.40694462562256023,1.0,-0.6487478604263501
1.5.4,1.0,0.12608711300963632,-0.6487478604263501,1.0
