Indicator,3.3.2,3.3.3,3.3.4,3.3.5
3.3.2,1.0,0.9576526510133669,,0.9341617872749886
3.3.3,0.9576526510133669,1.0,,0.9353398260803146
3.3.4,,,,
3.3.5,0.9341617872749886,0.9353398260803146,,1.0
