Year,AG_PRD_ORTIND,AG_PRD_AGVAS,AG_XPD_AGSGB
2012.0,0.1008,13.37,1.35
2013.0,0.0785,13.36,1.05
2014.0,0.0618,13.34,0.82
2015.0,0.23,13.49,3.09
2016.0,0.1164,13.48,1.57
2017.0,0.3267,13.16,4.3
2018.0,0.33,12.81,4.19
2019.0,0.31,12.72,3.94
2020.0,,,
2021.0,,,
