Year,EG_FEC_RNEW
2012.0,28.7848
2013.0,29.7025
2014.0,28.3189
2015.0,26.9519
2016.0,27.8348
2017.0,25.4328
2018.0,20.8639
2019.0,
2020.0,
2021.0,
