Year,SH_STA_STNT,SH_STA_STNTN
2012.0,,8094.2
2013.0,36.4,8077.2
2014.0,,8068.6
2015.0,,8024.6
2016.0,,8068.8
2017.0,,7992.9
2018.0,30.8,7840.4
2019.0,,7668.0
2020.0,,7526.1
2021.0,,
