Year,SN_ITK_DEFC,SN_ITK_DEFCN
2012.0,9.4,23.4
2013.0,8.3,21.0
2014.0,7.7,19.6
2015.0,7.0,18.2
2016.0,6.8,17.7
2017.0,6.4,16.8
2018.0,6.4,17.2
2019.0,6.5,17.6
2020.0,,
2021.0,,
