Year,ER_CBD_SMTA,ER_CBD_ORSPGRFA,ER_CBD_PTYPGRFA
2012,91,,1
2013,112,,1
2014,145,,1
2015,166,,1
2016,183,0,1
2017,208,0,1
2018,220,0,1
2019,223,1,1
2020,226,1,1
2021,226,1,1
