"Goal","Target","Indicator","SeriesCode","UniqueID"
9,"9.3","9.3.1","NV_IND_SSIS","NV_IND_SSIS                     ISIC4_C"
9,"9.4","9.4.1","EN_ATM_CO2","EN_ATM_CO2                     ISIC4_C10T32X19"
9,"9.5","9.5.1","GB_XPD_RSDV","GB_XPD_RSDV"
9,"9.a","9.a.1","DC_TOF_INFRAL","DC_TOF_INFRAL"
9,"9.b","9.b.1","NV_IND_TECH","NV_IND_TECH                     ISIC4_C"
9,"9.c","9.c.1","IT_MOB_4GNTWK","IT_MOB_4GNTWK"
10,"10.1","10.1.1","SI_HEI_TOTL","SI_HEI_TOTL                       B40"
10,"10.4","10.4.1","SL_EMP_GTOTL","SL_EMP_GTOTL"
10,"10.5","10.5.1","FI_FSI_FSKNL","FI_FSI_FSKNL              A"
10,"10.6","10.6.1","SG_INT_MBRDEV","SG_INT_MBRDEV                         IBRD"
10,"10.7","10.7.3","SM_DTH_MIGR","SM_DTH_MIGR"
10,"10.a","10.a.1","TM_TRF_ZERO","TM_TRF_ZERO             AGR"
10,"10.b","10.b.1","DC_TRF_TOTL","DC_TRF_TOTL"
10,"10.c","10.c.1","SI_RMT_COST","SI_RMT_COST"
11,"11.1","11.1.1","EN_LND_SLUM","EN_LND_SLUM          URBAN"
11,"11.5","11.5.1","VC_DSR_PDLN","VC_DSR_PDLN"
11,"11.6","11.6.1","EN_REF_WASCOL","EN_REF_WASCOL"
11,"11.a","11.a.1","SD_CPA_UPRDP","SD_CPA_UPRDP"
11,"11.b","11.b.1","SG_DSR_LGRGSR","SG_DSR_LGRGSR"
12,"12.1","12.1.1","SG_SCP_CNTRY","SG_SCP_CNTRY"
12,"12.2","12.2.2","EN_MAT_DOMCMPC","EN_MAT_DOMCMPC             FEO"
12,"12.3","12.3.1","AG_FOOD_WST","AG_FOOD_WST           HHS   A"
12,"12.4","12.4.1","SG_HAZ_CMRROTDAM","SG_HAZ_CMRROTDAM"
