Target,15.1,15.2,15.3,15.4,15.5,15.6,15.8,15.a,15.b
15.1,1.0,,,-0.8302098170960778,0.9922538201305202,-0.8660174032171802,,0.8159205376046162,0.8159205376046162
15.2,,,,,,,,,
15.3,,,,,,,,,
15.4,-0.8302098170960778,,,1.0,-0.8444374625307808,0.40824829046386296,,-0.1688748151070802,-0.1688748151070802
15.5,0.9922538201305202,,,-0.8444374625307808,1.0,-0.9104448616603339,,0.3056516488995903,0.3056516488995903
15.6,-0.8660174032171802,,,0.40824829046386296,-0.9104448616603339,1.0,,,
15.8,,,,,,,,,
15.a,0.8159205376046162,,,-0.1688748151070802,0.3056516488995903,,,1.0,1.0
15.b,0.8159205376046162,,,-0.1688748151070802,0.3056516488995903,,,1.0,1.0
