Target,12.1,12.2,12.3,12.4,12.6,12.8,12.a,12.b,12.c
12.1,,,,,,,,,
12.2,,1.0,,,,,0.5318069703158195,,-0.9954985098011856
12.3,,,,,,,,,
12.4,,,,1.0,,,,,
12.6,,,,,,,,,
12.8,,,,,,,,,
12.a,,0.5318069703158195,,,,,1.0,,0.866680013273472
12.b,,,,,,,,,
12.c,,-0.9954985098011856,,,,,0.866680013273472,,1.0
