Year,AG_LND_FRSTBIOPHA,AG_LND_FRSTCERT,AG_LND_FRSTCHG,AG_LND_FRSTMGT,AG_LND_FRSTPRCT
2012.0,,,,,
2013.0,,,,,
2014.0,,,,,
2015.0,124.05,499.575,,0.16,52.87
2016.0,124.05,497.968,,0.1,53.6
2017.0,124.05,439.022,,0.09,53.06
2018.0,124.05,503.745,,0.09,52.53
2019.0,124.05,502.066,,0.09,52.01
2020.0,124.05,504.965,-0.54,0.09,51.49
2021.0,,,,,
