Year,SH_STA_WAST,SH_STA_WASTN,SN_STA_OVWGT,SN_STA_OVWGTN
2012.0,,,,104.4
2013.0,,,,104.1
2014.0,,,,104.2
2015.0,0.8,15.0,4.9,104.2
2016.0,,,,104.9
2017.0,,,,105.3
2018.0,,,,105.4
2019.0,,,,105.7
2020.0,,,,106.2
2021.0,,,,
