Year,SH_TRP_INTVN
2012.0,3216909.0
2013.0,3205688.0
2014.0,3234783.0
2015.0,3321447.0
2016.0,3265661.0
2017.0,4836947.0
2018.0,4957871.0
2019.0,4957871.0
2020.0,
2021.0,
