,UniqueID,Goal,Target,Indicator,SeriesCode,TimePeriod,Value
252,SG_DSR_SILS                         ,1.0,1.5,1.5.4,SG_DSR_SILS,2012.0,0.0642
253,SG_DSR_SILS                         ,1.0,1.5,1.5.4,SG_DSR_SILS,2013.0,0.054470000000000005
254,SG_DSR_SILS                         ,1.0,1.5,1.5.4,SG_DSR_SILS,2016.0,0.02918
255,SG_DSR_SILS                         ,1.0,1.5,1.5.4,SG_DSR_SILS,2017.0,0.08755
256,SG_DSR_SILS                         ,1.0,1.5,1.5.4,SG_DSR_SILS,2018.0,0.05058
257,SG_DSR_SILS                         ,1.0,1.5,1.5.4,SG_DSR_SILS,2019.0,0.017509999999999998
258,SG_DSR_SILN                         ,1.0,1.5,1.5.4,SG_DSR_SILN,2012.0,33.0
259,SG_DSR_SILN                         ,1.0,1.5,1.5.4,SG_DSR_SILN,2013.0,28.0
260,SG_DSR_SILN                         ,1.0,1.5,1.5.4,SG_DSR_SILN,2016.0,15.0
261,SG_DSR_SILN                         ,1.0,1.5,1.5.4,SG_DSR_SILN,2017.0,45.0
262,SG_DSR_SILN                         ,1.0,1.5,1.5.4,SG_DSR_SILN,2018.0,26.0
263,SG_DSR_SILN                         ,1.0,1.5,1.5.4,SG_DSR_SILN,2019.0,9.0
264,SG_GOV_LOGV                         ,1.0,1.5,1.5.4,SG_GOV_LOGV,2012.0,514.0
265,SG_GOV_LOGV                         ,1.0,1.5,1.5.4,SG_GOV_LOGV,2013.0,514.0
266,SG_GOV_LOGV                         ,1.0,1.5,1.5.4,SG_GOV_LOGV,2014.0,514.0
267,SG_GOV_LOGV                         ,1.0,1.5,1.5.4,SG_GOV_LOGV,2015.0,514.0
268,SG_GOV_LOGV                         ,1.0,1.5,1.5.4,SG_GOV_LOGV,2016.0,514.0
269,SG_GOV_LOGV                         ,1.0,1.5,1.5.4,SG_GOV_LOGV,2017.0,514.0
270,SG_GOV_LOGV                         ,1.0,1.5,1.5.4,SG_GOV_LOGV,2018.0,514.0
271,SG_GOV_LOGV                         ,1.0,1.5,1.5.4,SG_GOV_LOGV,2019.0,514.0
272,VC_DSR_LSGP                         ,1.0,1.5,1.5.2,VC_DSR_LSGP,2012.0,0.00098
273,VC_DSR_LSGP                         ,1.0,1.5,1.5.2,VC_DSR_LSGP,2013.0,0.000771
274,VC_DSR_LSGP                         ,1.0,1.5,1.5.2,VC_DSR_LSGP,2014.0,0.0011539999999999999
275,VC_DSR_LSGP                         ,1.0,1.5,1.5.2,VC_DSR_LSGP,2015.0,0.00162
276,VC_DSR_LSGP                         ,1.0,1.5,1.5.2,VC_DSR_LSGP,2016.0,0.0010429999999999999
