,UniqueID,Goal,Target,Indicator,SeriesCode,TimePeriod,Value
46,SI_POV_EMP1 BOTHSEX                 15-24       ,1.0,1.1,1.1.1,SI_POV_EMP1,2017.0,7.0
47,SI_POV_EMP1 MALE                 25+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2017.0,2.0
48,SI_POV_EMP1 MALE                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2017.0,3.6
49,SI_POV_EMP1 MALE                 15-24       ,1.0,1.1,1.1.1,SI_POV_EMP1,2017.0,7.4
50,SI_POV_EMP1 FEMALE                 25+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2017.0,4.5
51,SI_POV_EMP1 FEMALE                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2017.0,4.9
52,SI_POV_EMP1 FEMALE                 15-24       ,1.0,1.1,1.1.1,SI_POV_EMP1,2017.0,5.9
53,SI_POV_EMP1 BOTHSEX                 25+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2017.0,2.9
54,SI_POV_EMP1 BOTHSEX                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2017.0,4.0
55,SI_POV_EMP1 BOTHSEX                 15-24       ,1.0,1.1,1.1.1,SI_POV_EMP1,2018.0,6.5
56,SI_POV_EMP1 MALE                 25+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2018.0,1.8
57,SI_POV_EMP1 MALE                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2018.0,3.3
58,SI_POV_EMP1 MALE                 15-24       ,1.0,1.1,1.1.1,SI_POV_EMP1,2018.0,6.9
59,SI_POV_EMP1 FEMALE                 25+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2018.0,4.3
60,SI_POV_EMP1 BOTHSEX                 25+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2018.0,2.7
61,SI_POV_EMP1 BOTHSEX                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2018.0,3.7
62,SI_POV_EMP1 FEMALE                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2018.0,4.6
63,SI_POV_EMP1 FEMALE                 15-24       ,1.0,1.1,1.1.1,SI_POV_EMP1,2018.0,5.6
64,SI_POV_NAHC          URBAN               ,1.0,1.2,1.2.1,SI_POV_NAHC,2014.0,42.2
65,SI_POV_NAHC          RURAL               ,1.0,1.2,1.2.1,SI_POV_NAHC,2014.0,76.1
66,SI_POV_NAHC          ALLAREA               ,1.0,1.2,1.2.1,SI_POV_NAHC,2014.0,59.3
67,SD_MDP_MUHC BOTHSEX         ALLAREA        ALLAGE       ,1.0,1.2,1.2.2,SD_MDP_MUHC,2014.0,61.6
68,SD_MDP_MUHC BOTHSEX         RURAL        ALLAGE       ,1.0,1.2,1.2.2,SD_MDP_MUHC,2014.0,82.5
69,SD_MDP_MUHC BOTHSEX         URBAN        ALLAGE       ,1.0,1.2,1.2.2,SD_MDP_MUHC,2014.0,40.3
70,SD_MDP_MUHC BOTHSEX         ALLAREA        <6Y       ,1.0,1.2,1.2.2,SD_MDP_MUHC,2014.0,67.9
71,SD_MDP_MUHC FEMALE         ALLAREA        ALLAGE       ,1.0,1.2,1.2.2,SD_MDP_MUHC,2014.0,60.7
