,UniqueID,Goal,Target,Indicator,SeriesCode,TimePeriod,Value
54,SI_POV_EMP1 BOTHSEX                 15-24       ,1.0,1.1,1.1.1,SI_POV_EMP1,2017.0,4.9
55,SI_POV_EMP1 MALE                 25+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2017.0,4.3
56,SI_POV_EMP1 BOTHSEX                 25+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2017.0,4.6
57,SI_POV_EMP1 FEMALE                 25+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2017.0,5.0
58,SI_POV_EMP1 FEMALE                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2017.0,4.8
59,SI_POV_EMP1 MALE                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2017.0,4.5
60,SI_POV_EMP1 MALE                 15-24       ,1.0,1.1,1.1.1,SI_POV_EMP1,2017.0,5.4
61,SI_POV_EMP1 FEMALE                 15-24       ,1.0,1.1,1.1.1,SI_POV_EMP1,2017.0,4.2
62,SI_POV_EMP1 MALE                 15-24       ,1.0,1.1,1.1.1,SI_POV_EMP1,2018.0,4.7
63,SI_POV_EMP1 FEMALE                 25+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2018.0,4.3
64,SI_POV_EMP1 FEMALE                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2018.0,4.2
65,SI_POV_EMP1 MALE                 25+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2018.0,3.7
66,SI_POV_EMP1 MALE                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2018.0,3.9
67,SI_POV_EMP1 BOTHSEX                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2018.0,4.0
68,SI_POV_EMP1 FEMALE                 15-24       ,1.0,1.1,1.1.1,SI_POV_EMP1,2018.0,3.6
69,SI_POV_EMP1 BOTHSEX                 15-24       ,1.0,1.1,1.1.1,SI_POV_EMP1,2018.0,4.3
70,SI_POV_EMP1 BOTHSEX                 25+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2018.0,4.0
71,SI_POV_NAHC          ALLAREA               ,1.0,1.2,1.2.1,SI_POV_NAHC,2015.0,11.2
72,SI_POV_NAHC          ALLAREA               ,1.0,1.2,1.2.1,SI_POV_NAHC,2016.0,10.9
73,SI_POV_NAHC          ALLAREA               ,1.0,1.2,1.2.1,SI_POV_NAHC,2017.0,10.6
74,SI_COV_MATNL FEMALE                        ,1.0,1.3,1.3.1,SI_COV_MATNL,2020.0,28.4
